scenario,expected_fail_lines,probability
S1,5,0.072
S2,6,0.068
S3,7,0.065667
S4,9,0.061333
S5,10,0.060667
S6,4,0.057667
S7,12,0.056667
S8,3,0.056333
S9,11,0.055667
S10,8,0.055
S11,13,0.05
S12,2,0.048667
S13,15,0.037
S14,1,0.036
S15,14,0.035667
S16,16,0.026667
S17,17,0.021667
S18,19,0.021
S19,0,0.019333
S20,18,0.016333
S21,20,0.016333
S22,22,0.011333
S23,21,0.01
S24,23,0.008
S25,24,0.007667
S26,25,0.006333
S27,27,0.004667
S28,26,0.004
S29,30,0.002667
S30,28,0.001333
S31,29,0.001333
S32,36,0.001333
S33,31,0.001
S34,34,0.000667
S35,37,0.000667
S36,32,0.000333
S37,33,0.000333
S38,35,0.000333
S39,38,0.000333
