scenario_id,timestamp,load_bus,priority_weight,demand,served,shed,policy
187,2024-09-01 00:00:00,0,1.0,0.022429016111161482,0.022429016111161482,0.0,priority_with_reserve
187,2024-09-01 00:00:00,1,1.0,0.029571531383169397,0.029571531383169397,0.0,priority_with_reserve
187,2024-09-01 00:00:00,2,1.0,0.019949002819487218,0.019949002819487218,0.0,priority_with_reserve
187,2024-09-01 00:00:00,3,1.0,0.018062445984939567,0.018062445984939567,0.0,priority_with_reserve
187,2024-09-01 00:00:00,5,1.0,0.031888882811473195,0.031888882811473195,0.0,priority_with_reserve
187,2024-09-01 00:00:00,6,1.0,0.019127522371166533,0.019127522371166533,0.0,priority_with_reserve
187,2024-09-01 00:00:00,7,1.0,0.024885877981953276,0.024885877981953276,0.0,priority_with_reserve
187,2024-09-01 00:00:00,10,1.0,0.023375129035663605,0.023375129035663605,0.0,priority_with_reserve
187,2024-09-01 00:00:00,11,1.0,0.03187142494479305,0.03187142494479305,0.0,priority_with_reserve
187,2024-09-01 00:00:00,12,1.0,0.01602444982986486,0.01602444982986486,0.0,priority_with_reserve
187,2024-09-01 00:00:00,13,1.0,0.03863840895219539,0.03863840895219539,0.0,priority_with_reserve
187,2024-09-01 00:00:00,14,1.0,0.013353011764858935,0.013353011764858935,0.0,priority_with_reserve
187,2024-09-01 00:00:00,15,1.0,0.025911691908265262,0.025911691908265262,0.0,priority_with_reserve
187,2024-09-01 00:00:00,16,1.0,0.024040149691068928,0.024040149691068928,0.0,priority_with_reserve
187,2024-09-01 00:00:00,17,1.0,0.012506184191572916,0.012506184191572916,0.0,priority_with_reserve
187,2024-09-01 00:00:00,18,1.0,0.027277423278646903,0.027277423278646903,0.0,priority_with_reserve
187,2024-09-01 00:00:00,19,1.0,0.01686458914201942,0.01686458914201942,0.0,priority_with_reserve
187,2024-09-01 00:00:00,20,1.0,0.00967009206965907,0.00967009206965907,0.0,priority_with_reserve
187,2024-09-01 00:00:00,21,1.0,0.029445608823794763,0.029445608823794763,0.0,priority_with_reserve
187,2024-09-01 00:00:00,22,1.0,0.007063754739068151,0.007063754739068151,0.0,priority_with_reserve
187,2024-09-01 00:00:00,23,1.0,0.011053340830758446,0.011053340830758446,0.0,priority_with_reserve
187,2024-09-01 00:00:00,26,1.0,0.019799047460364348,0.019799047460364348,0.0,priority_with_reserve
187,2024-09-01 00:00:00,27,1.0,0.03174227419631131,0.03174227419631131,0.0,priority_with_reserve
187,2024-09-01 00:00:00,28,1.0,0.02833572041525028,0.02833572041525028,0.0,priority_with_reserve
187,2024-09-01 00:00:00,30,1.0,0.022202490240917583,0.022202490240917583,0.0,priority_with_reserve
187,2024-09-01 00:00:00,31,1.0,0.0053050813395517345,0.0053050813395517345,0.0,priority_with_reserve
187,2024-09-01 00:00:00,32,1.0,0.012924093031631806,0.012924093031631806,0.0,priority_with_reserve
187,2024-09-01 00:00:00,33,1.0,0.014995883424434888,0.014995883424434888,0.0,priority_with_reserve
187,2024-09-01 00:00:00,34,1.0,0.009330266995952673,0.009330266995952673,0.0,priority_with_reserve
187,2024-09-01 00:00:00,35,1.0,0.004143919818666352,0.004143919818666352,0.0,priority_with_reserve
187,2024-09-01 00:00:00,38,0.5,0.012900025131956604,0.012900025131956604,0.0,priority_with_reserve
187,2024-09-01 00:00:00,39,0.5,0.01987498113853851,0.01987498113853851,0.0,priority_with_reserve
187,2024-09-01 00:00:00,40,0.5,0.008076432046299414,0.008076432046299414,0.0,priority_with_reserve
187,2024-09-01 00:00:00,41,0.5,0.02209334271446877,0.02209334271446877,0.0,priority_with_reserve
187,2024-09-01 00:00:00,42,0.5,0.0026976787729332007,0.0026976787729332007,0.0,priority_with_reserve
187,2024-09-01 00:00:00,43,0.5,0.004315969967340368,0.004315969967340368,0.0,priority_with_reserve
187,2024-09-01 00:00:00,44,0.5,0.012679022528557416,0.012679022528557416,0.0,priority_with_reserve
187,2024-09-01 00:00:00,45,0.5,0.007464162694246959,0.007464162694246959,0.0,priority_with_reserve
187,2024-09-01 00:00:00,46,0.5,0.018651816303426827,0.018651816303426827,0.0,priority_with_reserve
187,2024-09-01 00:00:00,47,0.5,0.01638961916855866,0.01638961916855866,0.0,priority_with_reserve
187,2024-09-01 00:00:00,48,0.5,0.007962305871841296,0.007962305871841296,0.0,priority_with_reserve
187,2024-09-01 00:00:00,49,0.5,0.0030171315062826583,0.0030171315062826583,0.0,priority_with_reserve
187,2024-09-01 00:00:00,50,0.5,0.007148676640362068,0.007148676640362068,0.0,priority_with_reserve
187,2024-09-01 00:00:00,51,0.5,0.016699032935158127,0.016699032935158127,0.0,priority_with_reserve
187,2024-09-01 00:00:00,52,0.5,0.019213774927851607,0.019213774927851607,0.0,priority_with_reserve
187,2024-09-01 00:00:00,53,0.5,0.007494227827288634,0.007494227827288634,0.0,priority_with_reserve
187,2024-09-01 00:00:00,54,0.5,0.0014022564559539384,0.0014022564559539384,0.0,priority_with_reserve
187,2024-09-01 00:00:00,55,0.5,0.0025205814706215283,0.0025205814706215283,0.0,priority_with_reserve
187,2024-09-01 00:00:00,56,0.5,0.01566927322295929,0.01566927322295929,0.0,priority_with_reserve
187,2024-09-01 00:00:00,57,0.5,0.007843137585710997,0.007843137585710997,0.0,priority_with_reserve
187,2024-09-01 00:00:00,58,0.5,0.008016251065937478,0.008016251065937478,0.0,priority_with_reserve
