scenario,expected_fail_lines,probability
S1,0,0.259333
S2,1,0.232667
S3,2,0.177
S4,3,0.134
S5,4,0.085667
S6,5,0.053333
S7,6,0.033
S8,7,0.014333
S9,8,0.007
S10,9,0.003
S11,10,0.000333
S12,12,0.000333
