scenario,expected_fail_lines,probability
S1,6,0.069
S2,5,0.068667
S3,4,0.066333
S4,3,0.063333
S5,7,0.060667
S6,2,0.059
S7,8,0.058667
S8,11,0.055
S9,9,0.054333
S10,10,0.054333
S11,13,0.049333
S12,12,0.047
S13,1,0.033667
S14,14,0.032667
S15,16,0.029333
S16,15,0.026667
S17,19,0.022
S18,0,0.021667
S19,18,0.021333
S20,17,0.019667
S21,20,0.017333
S22,21,0.012
S23,22,0.010667
S24,23,0.009667
S25,25,0.009333
S26,24,0.008
S27,26,0.006667
S28,28,0.003667
S29,27,0.003
S30,31,0.002
S31,29,0.001
S32,30,0.001
S33,32,0.001
S34,33,0.000667
S35,34,0.000333
S36,35,0.000333
S37,36,0.000333
S38,40,0.000333
