epoch,train_mse,val_mse,warmup_scale,train_gate_reg,train_attn_entropy,train_rank_loss
1.0,0.22468715906143188,0.24742956459522247,0.01,0.32390639185905457,0.9999700784683228,0.0
2.0,0.20873896777629852,0.22849884629249573,0.02,0.10949830710887909,0.9999678730964661,0.0
3.0,0.19480203092098236,0.20889641344547272,0.03,0.046578630805015564,0.9999321699142456,0.0
4.0,0.18137603998184204,0.18793925642967224,0.04,0.021121414378285408,0.9999368786811829,0.0
5.0,0.16832467913627625,0.16082951426506042,0.05,0.011378295719623566,0.9999850392341614,0.0
6.0,0.15501943230628967,0.11783602833747864,0.06,0.010446334257721901,0.9998447299003601,0.0
7.0,0.14064675569534302,0.05503535270690918,0.07,0.018743975088000298,0.9999449849128723,0.0
8.0,0.12334597110748291,0.009928418323397636,0.08,0.05215580761432648,0.9998264908790588,0.0
9.0,0.10192661732435226,0.0005570114008150995,0.09,0.14519235491752625,0.9999606609344482,0.0
10.0,0.07893754541873932,7.346001439145766e-06,0.1,0.2890125513076782,0.9995387196540833,0.0
11.0,0.05750773847103119,1.7870082302806622e-08,0.11,0.40821734070777893,0.999957263469696,0.0
12.0,0.04325275495648384,9.409568679785707e-10,0.12,0.5071069598197937,0.9997473955154419,0.0
13.0,0.03918812423944473,9.389039545837363e-10,0.13,0.583669900894165,0.9999772906303406,0.0
14.0,0.04060664027929306,9.390327404545928e-10,0.14,0.6128838062286377,0.9996566772460938,0.0
15.0,0.0419730618596077,9.390385136143209e-10,0.15,0.5928869843482971,0.9999878406524658,0.0
16.0,0.042234934866428375,9.39036626235179e-10,0.16,0.5334938168525696,0.9996234774589539,0.0
17.0,0.04160745069384575,9.389969912732e-10,0.17,0.4444476068019867,0.9998106956481934,0.0
18.0,0.04026779904961586,9.382067345242717e-10,0.18,0.34227314591407776,0.9997825026512146,0.0
19.0,0.038614291697740555,1.0568651509501592e-09,0.19,0.24982628226280212,0.999817967414856,0.0
20.0,0.036818861961364746,4.730741309799669e-08,0.2,0.17893362045288086,0.9999697208404541,0.0
21.0,0.03512626886367798,7.4461772783251945e-06,0.21,0.12490833550691605,0.9997866749763489,0.0
22.0,0.03420386463403702,0.00017890287563204765,0.22,0.08281829208135605,0.9999194145202637,0.0
23.0,0.03481082618236542,0.00033151687239296734,0.23,0.056132759898900986,0.9999577403068542,0.0
24.0,0.034652773290872574,0.0001730232615955174,0.24,0.04693840071558952,0.9998820424079895,0.0
25.0,0.03388292342424393,5.44386675755959e-05,0.25,0.046119075268507004,0.9998032450675964,0.0
26.0,0.03334150090813637,1.94451477000257e-05,0.26,0.04812901094555855,0.9999134540557861,0.0
27.0,0.033297404646873474,1.3149314327165484e-05,0.27,0.0487334206700325,0.999982476234436,0.0
28.0,0.033264052122831345,1.927085941133555e-05,0.28,0.04516464099287987,0.9997966289520264,0.0
29.0,0.03291424363851547,4.9315232899971306e-05,0.29,0.037810519337654114,0.9998776316642761,0.0
30.0,0.03248745948076248,0.00015449350757990032,0.3,0.028951110318303108,0.9999852180480957,0.0
31.0,0.032024189829826355,0.00043411002843640745,0.31,0.020789727568626404,0.9999353885650635,0.0
32.0,0.03163602948188782,0.0009166129166260362,0.32,0.014550396241247654,0.9999131560325623,0.0
33.0,0.031458452343940735,0.0013928930275142193,0.33,0.010455283336341381,0.9999502301216125,0.0
34.0,0.031240642070770264,0.0016111158765852451,0.34,0.008122132159769535,0.9999803304672241,0.0
35.0,0.0307704359292984,0.0015154342399910092,0.35,0.006962869316339493,0.9999392628669739,0.0
36.0,0.030384114012122154,0.0012278397334739566,0.36,0.00654390174895525,0.9999591112136841,0.0
37.0,0.029824109748005867,0.0009281415259465575,0.37,0.00659345043823123,0.9999926090240479,0.0
38.0,0.02958231046795845,0.0007380954339168966,0.38,0.0068577309139072895,0.9999467730522156,0.0
39.0,0.029029827564954758,0.0007047684630379081,0.39,0.007024218328297138,0.999958872795105,0.0
40.0,0.02857978828251362,0.0008599910652264953,0.4,0.006790237966924906,0.9999948740005493,0.0
41.0,0.028067603707313538,0.0012676870683208108,0.41,0.0060645584017038345,0.9999775886535645,0.0
42.0,0.027432715520262718,0.0019446923397481441,0.42,0.00505400076508522,0.9999376535415649,0.0
43.0,0.026781419292092323,0.002647330053150654,0.43,0.004118355456739664,0.9999502301216125,0.0
44.0,0.026181533932685852,0.0029248411301523447,0.44,0.003539338009431958,0.999988853931427,0.0
45.0,0.025555957108736038,0.0025571645237505436,0.45,0.003424776718020439,0.9999797940254211,0.0
46.0,0.024690603837370872,0.0019244070863351226,0.46,0.0038358750753104687,0.9999666810035706,0.0
47.0,0.023607604205608368,0.0016927012475207448,0.47,0.004773997236043215,0.9999575614929199,0.0
48.0,0.02278621308505535,0.0025264574214816093,0.48,0.005854547489434481,0.9999152421951294,0.0
49.0,0.02146119624376297,0.0051644970662891865,0.49,0.006302084308117628,0.999859631061554,0.0
50.0,0.02016375958919525,0.0068740095011889935,0.5,0.006800100672990084,0.9998529553413391,0.0
51.0,0.01917170360684395,0.004471814259886742,0.51,0.010244484059512615,0.999870240688324,0.0
52.0,0.018211908638477325,0.010147073306143284,0.52,0.019688554108142853,0.9995934367179871,0.0
53.0,0.017835523933172226,0.006981043145060539,0.53,0.025542307645082474,0.9994848370552063,0.0
54.0,0.017129991203546524,0.0058726235292851925,0.54,0.030491013079881668,0.99888014793396,0.0
55.0,0.01619275100529194,0.007613709662109613,0.55,0.028541170060634613,0.9988275766372681,0.0
56.0,0.015133894979953766,0.004183007869869471,0.56,0.021473899483680725,0.9993441104888916,0.0
57.0,0.0142008475959301,0.0030005117878317833,0.57,0.01766134425997734,0.9994111657142639,0.0
58.0,0.013238495215773582,0.003752835327759385,0.58,0.01364688016474247,0.9994924068450928,0.0
59.0,0.012454187497496605,0.0024417934473603964,0.59,0.009595799259841442,0.999532163143158,0.0
60.0,0.011547059752047062,0.0016949366545304656,0.6,0.008720235899090767,0.9995597004890442,0.0
61.0,0.010814896784722805,0.0022888972889631987,0.61,0.008553603664040565,0.9995782971382141,0.0
62.0,0.009944958612322807,0.002070934511721134,0.62,0.00768634956330061,0.9994291663169861,0.0
63.0,0.008985362946987152,0.0016051041893661022,0.63,0.00862177088856697,0.9993292093276978,0.0
64.0,0.008185043931007385,0.0033934207167476416,0.64,0.010980513878166676,0.9992824792861938,0.0
65.0,0.007523556239902973,0.0017893388867378235,0.65,0.011595213785767555,0.9985715746879578,0.0
66.0,0.00691283168271184,0.005099161062389612,0.66,0.015986576676368713,0.9988506436347961,0.0
67.0,0.006611894816160202,0.0020781531929969788,0.67,0.013831529766321182,0.99747633934021,0.0
68.0,0.005665336269885302,0.0033722789958119392,0.68,0.016637083142995834,0.9986776113510132,0.0
69.0,0.004739726893603802,0.00294227316044271,0.69,0.013139849528670311,0.9981635808944702,0.0
70.0,0.004091964568942785,0.0015550534008070827,0.7,0.011141675524413586,0.998383104801178,0.0
71.0,0.003457179293036461,0.0028131166473031044,0.71,0.010638837702572346,0.9989993572235107,0.0
72.0,0.0030566295608878136,0.0016441387124359608,0.72,0.007715416140854359,0.9979950189590454,0.0
