scenario,expected_fail_lines,probability
S1,1,0.240333
S2,0,0.229
S3,2,0.183333
S4,3,0.142333
S5,4,0.091
S6,5,0.052333
S7,6,0.035333
S8,7,0.014667
S9,8,0.007333
S10,9,0.003333
S11,10,0.000667
S12,12,0.000333
