timestamp,wind_renewables_ninja_wind_electricity,pv_renewables_ninja_pv_electricity,load_load_load_region1,load_load_load_region2,pv_renewables_ninja_pv_irradiance_direct,pv_renewables_ninja_pv_irradiance_diffuse,pv_renewables_ninja_pv_temperature,wind_renewables_ninja_wind_wind_speed,HourOfDay,DayOfYear,Month,Weekday
2024-01-01 00:00:00,0.139751552795031,0.0324189526184538,0.6706940356441649,0.7219853589632629,0.001,0.047,15.094,5.534,0,1,1,0
2024-01-01 01:00:00,0.1376811594202898,0.0922693266832917,0.6238819685876623,0.6750744069461785,0.003,0.098,15.831,5.516,1,1,1,0
2024-01-01 02:00:00,0.1149068322981366,0.1521197007481296,0.5747720303165101,0.6359094512448044,0.006,0.148,16.767,5.208,2,1,1,0
2024-01-01 03:00:00,0.087991718426501,0.199501246882793,0.5343810874165775,0.6027905870544351,0.008,0.187,17.774,4.79,3,1,1,0
2024-01-01 04:00:00,0.0610766045548654,0.2443890274314214,0.4952267707621332,0.5928625677652832,0.012,0.223,18.782,4.316,4,1,1,0
2024-01-01 05:00:00,0.0403726708074534,0.2718204488778055,0.473402069533247,0.5767290855857481,0.018,0.244,19.63,3.862,5,1,1,0
2024-01-01 06:00:00,0.0351966873706004,0.298004987531172,0.46002201823359795,0.6137795984296744,0.031,0.255,20.474,3.721,6,1,1,0
2024-01-01 07:00:00,0.0372670807453416,0.2319201995012468,0.4640543199781474,0.7070298264312838,0.028,0.199,20.807,3.786,7,1,1,0
2024-01-01 08:00:00,0.036231884057971,0.1147132169576059,0.4403451640058986,0.7213176016661034,0.014,0.11,20.533,3.755,8,1,1,0
2024-01-01 09:00:00,0.036231884057971,0.0074812967581047,0.463502996797682,0.7752606577298797,0.003,0.021,18.672,3.758,9,1,1,0
2024-01-01 10:00:00,0.0393374741200828,0.0,0.514193458775338,0.8101425621415644,0.0,0.0,17.263,3.838,10,1,1,0
2024-01-01 11:00:00,0.0383022774327122,0.0,0.5553667459933184,0.8307040044793729,0.0,0.0,16.804,3.794,11,1,1,0
2024-01-01 12:00:00,0.036231884057971,0.0,0.5501712354579464,0.8061752197585462,0.0,0.0,16.377,3.741,12,1,1,0
2024-01-01 13:00:00,0.0372670807453416,0.0,0.5286004599150439,0.780095914740616,0.0,0.0,16.027,3.788,13,1,1,0
2024-01-01 14:00:00,0.0424430641821946,0.0,0.5302165628036677,0.7889058923530277,0.0,0.0,15.691,3.911,14,1,1,0
2024-01-01 15:00:00,0.0486542443064182,0.0,0.5302174635409136,0.8101560646397234,0.0,0.0,15.4,4.046,15,1,1,0
2024-01-01 16:00:00,0.056935817805383,0.0,0.5419143594635377,0.8284499898401612,0.0,0.0,15.165,4.22,16,1,1,0
2024-01-01 17:00:00,0.0631469979296066,0.0,0.5768229427645808,0.8785974856713802,0.0,0.0,14.829,4.354,17,1,1,0
2024-01-01 18:00:00,0.0683229813664596,0.0,0.6138341923545179,0.9245217705585262,0.0,0.0,14.402,4.461,18,1,1,0
2024-01-01 19:00:00,0.0714285714285714,0.0,0.6517987626352777,0.9656859105837665,0.0,0.0,13.995,4.517,19,1,1,0
2024-01-01 20:00:00,0.0838509316770186,0.0,0.6238347444990289,0.9398184616139064,0.0,0.0,13.581,4.723,20,1,1,0
2024-01-01 21:00:00,0.0962732919254658,0.0,0.6155785277054281,0.8931941732593278,0.0,0.0,13.241,4.93,21,1,1,0
2024-01-01 22:00:00,0.0962732919254658,0.0,0.5953469886411099,0.856873275764292,0.0,0.0,13.142,4.926,22,1,1,0
2024-01-01 23:00:00,0.082815734989648,0.0199501246882793,0.5504353676723319,0.7805390874243844,0.007,0.03,13.951,4.705,23,1,1,0
2024-01-02 00:00:00,0.046583850931677,0.1745635910224439,0.6748920946012112,0.7240900147305692,0.042,0.13,16.146,4.007,0,2,1,1
2024-01-02 01:00:00,0.0590062111801242,0.341645885286783,0.6265273156079948,0.6740086439685685,0.099,0.224,18.541,4.261,1,2,1,1
2024-01-02 02:00:00,0.062111801242236,0.4538653366583541,0.585476503320336,0.6491015046546638,0.139,0.292,20.53,4.336,2,2,1,1
2024-01-02 03:00:00,0.0579710144927536,0.5635910224438903,0.5542770803584246,0.6097287278754538,0.213,0.331,21.963,4.241,3,2,1,1
2024-01-02 04:00:00,0.0538302277432712,0.6446384039900249,0.5121550297294133,0.5840921570824823,0.302,0.331,23.276,4.167,4,2,1,1
2024-01-02 05:00:00,0.0548654244306418,0.6795511221945137,0.49239109777900997,0.5715432334633203,0.383,0.292,24.306,4.193,5,2,1,1
2024-01-02 06:00:00,0.0548654244306418,0.5448877805486284,0.4837976754113844,0.5937575833021834,0.256,0.275,24.561,4.194,6,2,1,1
2024-01-02 07:00:00,0.041407867494824,0.3079800498753117,0.4994184087232821,0.6587806287342111,0.083,0.217,24.055,3.875,7,2,1,1
2024-01-02 08:00:00,0.0196687370600414,0.1159600997506234,0.6122891786457179,0.7034889073403117,0.019,0.107,22.998,3.255,8,2,1,1
2024-01-02 09:00:00,0.010351966873706,0.0024937655860349,0.8066578888096868,0.8261095815776679,0.002,0.016,21.039,2.842,9,2,1,1
2024-01-02 10:00:00,0.0113871635610766,0.0,0.8670297353672274,0.8924668359514704,0.0,0.0,19.932,2.875,10,2,1,1
2024-01-02 11:00:00,0.0631469979296066,0.0,0.905258926172801,0.9368861821359225,0.0,0.0,18.854,4.36,11,2,1,1
2024-01-02 12:00:00,0.1780538302277432,0.0,0.8129326043693472,0.8948892629730342,0.0,0.0,17.784,5.982,12,2,1,1
2024-01-02 13:00:00,0.3643892339544513,0.0,0.7892856208263023,0.8892023474601418,0.0,0.0,16.325,7.695,13,2,1,1
2024-01-02 14:00:00,0.629399585921325,0.0,0.9023501594888456,0.919940192024771,0.0,0.0,14.666,9.714,14,2,1,1
2024-01-02 15:00:00,0.6977225672877847,0.0,0.9265067617733561,0.955275510138992,0.0,0.0,13.327,10.288,15,2,1,1
2024-01-02 16:00:00,0.5921325051759834,0.0,0.9253740778045778,0.9509024607586906,0.0,0.0,12.679,9.415,16,2,1,1
2024-01-02 17:00:00,0.4937888198757764,0.0,0.9076927569450923,0.9710508320243907,0.0,0.0,12.466,8.673,17,2,1,1
2024-01-02 18:00:00,0.3871635610766045,0.0,0.7857473240698589,0.9249733963922271,0.0,0.0,12.221,7.865,18,2,1,1
2024-01-02 19:00:00,0.412008281573499,0.0,0.7885426921367622,0.8858664383602829,0.0,0.0,11.872,8.061,19,2,1,1
2024-01-02 20:00:00,0.3985507246376812,0.0,0.8020868893097564,0.9415891867982481,0.0,0.0,11.362,7.961,20,2,1,1
2024-01-02 21:00:00,0.412008281573499,0.0,0.7966306401286821,0.9501639568950215,0.0,0.0,10.928,8.05,21,2,1,1
2024-01-02 22:00:00,0.463768115942029,0.0,0.786240790929885,0.9493976157588873,0.0,0.0,10.673,8.441,22,2,1,1
2024-01-02 23:00:00,0.4699792960662526,0.0311720698254364,0.7595181971245327,0.8828511350271266,0.015,0.032,10.792,8.49,23,2,1,1
2024-01-03 00:00:00,0.6821946169772257,0.2481296758104738,0.7452622880500052,0.7313647186553893,0.102,0.13,12.347,10.148,0,3,1,2
2024-01-03 01:00:00,0.7691511387163561,0.4987531172069825,0.706302828206773,0.6768773164215258,0.273,0.188,14.44,10.96,1,3,1,2
2024-01-03 02:00:00,0.7525879917184265,0.6845386533665836,0.6732350151715975,0.6497789098136127,0.439,0.213,16.74,10.796,2,3,1,2
2024-01-03 03:00:00,0.7298136645962733,0.8079800498753117,0.6481028282127278,0.6069422169458772,0.583,0.213,18.594,10.576,3,3,1,2
2024-01-03 04:00:00,0.6604554865424431,0.8491271820448878,0.6141720964718972,0.5790502056385732,0.641,0.209,19.96,9.974,4,3,1,2
2024-01-03 05:00:00,0.6097308488612836,0.800498753117207,0.598251583188096,0.5653972595327131,0.589,0.209,20.842,9.559,5,3,1,2
2024-01-03 06:00:00,0.6066252587991718,0.6658354114713217,0.5913292917511221,0.5895659710060489,0.439,0.208,21.06,9.535,6,3,1,2
2024-01-03 07:00:00,0.6024844720496895,0.4862842892768079,0.6039123189689789,0.6603095792446557,0.284,0.179,20.652,9.503,7,3,1,2
2024-01-03 08:00:00,0.5952380952380952,0.2219451371571072,0.6948335289149463,0.7089511781285245,0.093,0.124,19.457,9.444,8,3,1,2
2024-01-03 09:00:00,0.6118012422360248,0.0187032418952618,0.8514040770506227,0.8423597075023864,0.013,0.023,17.233,9.575,9,3,1,2
2024-01-03 10:00:00,0.6583850931677019,0.0,0.9000356345621335,0.91455490434924,0.0,0.0,15.112,9.949,10,3,1,2
2024-01-03 11:00:00,0.6262939958592133,0.0,0.9308305363659529,0.962882152134364,0.0,0.0,13.586,9.687,11,3,1,2
2024-01-03 12:00:00,0.5693581780538303,0.0,0.8564585719630273,0.9171904501979256,0.0,0.0,12.291,9.243,12,3,1,2
2024-01-03 13:00:00,0.4699792960662526,0.0,0.8374101295294312,0.9110032147297681,0.0,0.0,11.058,8.49,13,3,1,2
2024-01-03 14:00:00,0.4316770186335403,0.0,0.928487426704128,0.9444452968759174,0.0,0.0,10.354,8.213,14,3,1,2
2024-01-03 15:00:00,0.3995859213250518,0.0,0.9479463842484704,0.9828893264035397,0.0,0.0,9.852,7.965,15,3,1,2
2024-01-03 16:00:00,0.3881987577639751,0.0,0.9470339690871687,0.9781315470976306,0.0,0.0,9.134,7.88,16,3,1,2
2024-01-03 17:00:00,0.3933747412008281,0.0,0.9327910691189056,1.0000525206994506,0.0,0.0,8.576,7.916,17,3,1,2
2024-01-03 18:00:00,0.3757763975155279,0.0,0.8345599122281099,0.9499213097234532,0.0,0.0,8.034,7.775,18,3,1,2
2024-01-03 19:00:00,0.3354037267080745,0.0,0.8368116754400472,0.9073738206621533,0.0,0.0,7.47,7.455,19,3,1,2
2024-01-03 20:00:00,0.2908902691511387,0.0,0.8477219827999531,0.9679989147286667,0.0,0.0,6.976,7.083,20,3,1,2
2024-01-03 21:00:00,0.2732919254658385,0.0,0.84332679015795,0.9773280713290923,0.0,0.0,6.627,6.933,21,3,1,2
2024-01-03 22:00:00,0.2629399585921325,0.0,0.8349574164055387,0.9764943096370755,0.0,0.0,6.356,6.84,22,3,1,2
2024-01-03 23:00:00,0.2101449275362319,0.0586034912718204,0.813431466273976,0.9040932386993377,0.037,0.032,6.645,6.331,23,3,1,2
2024-01-04 00:00:00,0.0952380952380952,0.3341645885286783,0.7639507644547737,0.7513514656943802,0.185,0.116,8.787,4.909,0,4,1,3
2024-01-04 01:00:00,0.1418219461697722,0.5822942643391521,0.7254905590890094,0.6933569238196667,0.382,0.156,12.965,5.561,1,4,1,3
2024-01-04 02:00:00,0.0910973084886128,0.7506234413965086,0.6928465007231595,0.6645142993376216,0.547,0.176,16.603,4.853,2,4,1,3
2024-01-04 03:00:00,0.0144927536231884,0.8428927680798005,0.6680363757466549,0.6189203768096805,0.648,0.189,18.702,3.049,3,4,1,3
2024-01-04 04:00:00,0.0,0.8678304239401495,0.6345404567321637,0.5892330667349346,0.681,0.193,20.141,1.691,4,4,1,3
2024-01-04 05:00:00,0.0,0.8254364089775561,0.6188239602518821,0.5747013342560553,0.639,0.189,21.109,0.9,5,4,1,3
2024-01-04 06:00:00,0.0,0.7069825436408976,0.611990376025493,0.6004256909558263,0.513,0.182,21.594,0.627,6,4,1,3
2024-01-04 07:00:00,0.0,0.5236907730673316,0.624412155320046,0.6757227863087317,0.342,0.16,21.522,0.745,7,4,1,3
2024-01-04 08:00:00,0.0,0.270573566084788,0.714168235633221,0.7274952538037073,0.146,0.115,20.78,0.881,8,4,1,3
2024-01-04 09:00:00,0.0,0.0336658354114713,0.8687323762670286,0.8694907651477798,0.026,0.024,18.886,1.079,9,4,1,3
2024-01-04 10:00:00,0.0020703933747412,0.0,0.9167407340801085,0.9463328832668683,0.0,0.0,17.246,2.131,10,4,1,3
2024-01-04 11:00:00,0.0175983436853002,0.0,0.9471410079755088,0.9977707655846277,0.0,0.0,15.924,3.188,11,4,1,3
2024-01-04 12:00:00,0.0548654244306418,0.0,0.8737220993406867,0.9491380689173756,0.0,0.0,14.909,4.184,12,4,1,3
2024-01-04 13:00:00,0.0838509316770186,0.0,0.8549177573097813,0.9425525851136402,0.0,0.0,14.084,4.735,13,4,1,3
2024-01-04 14:00:00,0.0703933747412008,0.0,0.9448279245938013,0.9781472025523028,0.0,0.0,13.612,4.499,14,4,1,3
2024-01-04 15:00:00,0.046583850931677,0.0,0.9640375210401647,1.019065722991162,0.0,0.0,13.165,4.013,15,4,1,3
2024-01-04 16:00:00,0.025879917184265,0.0,0.9631367982887609,1.0140017040744853,0.0,0.0,13.011,3.449,16,4,1,3
2024-01-04 17:00:00,0.010351966873706,0.0,0.949076417041198,1.0373336447554256,0.0,0.0,13.107,2.823,17,4,1,3
2024-01-04 18:00:00,0.0062111801242236,0.0,0.852104064751532,0.9839756850113407,0.0,0.0,13.065,2.593,18,4,1,3
2024-01-04 19:00:00,0.0217391304347826,0.0,0.8543269722154593,0.9386895813414724,0.0,0.0,12.711,3.317,19,4,1,3
2024-01-04 20:00:00,0.046583850931677,0.0,0.8650974670060533,1.0032168743921646,0.0,0.0,12.251,3.998,20,4,1,3
2024-01-04 21:00:00,0.0579710144927536,0.0,0.8607585975432164,1.0131465118241612,0.0,0.0,11.964,4.247,21,4,1,3
2024-01-04 22:00:00,0.0610766045548654,0.0,0.8524964749827313,1.0122590840114383,0.0,0.0,11.964,4.319,22,4,1,3
2024-01-04 23:00:00,0.0610766045548654,0.0174563591022443,0.8312463738361617,0.9351978412403245,0.008,0.026,12.677,4.302,23,4,1,3
2024-01-05 00:00:00,0.0248447204968944,0.1633416458852867,0.7761513123284011,0.7715705242992912,0.038,0.124,14.541,3.427,0,5,1,4
2024-01-05 01:00:00,0.0082815734989648,0.3541147132169575,0.7357885953303256,0.7122182659910822,0.114,0.218,17.438,2.733,1,5,1,4
2024-01-05 02:00:00,0.0020703933747412,0.5498753117206983,0.7015297328670966,0.6827004038924288,0.254,0.271,19.969,2.146,2,5,1,4
2024-01-05 03:00:00,0.0,0.699501246882793,0.6754923249517527,0.6360390772603052,0.413,0.275,21.976,1.424,3,5,1,4
2024-01-05 04:00:00,0.0,0.7880299251870324,0.6403394628058192,0.6056567542810489,0.547,0.248,23.507,1.143,4,5,1,4
2024-01-05 05:00:00,0.0,0.7655860349127181,0.6238455181447554,0.5907848179874665,0.542,0.232,24.528,1.547,5,5,1,4
2024-01-05 06:00:00,0.0010351966873706,0.6620947630922693,0.6166738969133148,0.6171114102380367,0.444,0.214,25.019,1.876,6,5,1,4
2024-01-05 07:00:00,0.0010351966873706,0.4625935162094762,0.6297101445406809,0.6941712938752397,0.258,0.191,24.893,2.046,7,5,1,4
2024-01-05 08:00:00,0.0010351966873706,0.1945137157107231,0.7239061904098694,0.7471558122400844,0.069,0.127,24.08,2.058,8,5,1,4
2024-01-05 09:00:00,0.0020703933747412,0.0187032418952618,0.8861161579745046,0.8924755954037769,0.012,0.024,21.984,2.147,9,5,1,4
2024-01-05 10:00:00,0.0072463768115942,0.0,0.9364993460168951,0.9711166724489787,0.0,0.0,20.442,2.657,10,5,1,4
2024-01-05 11:00:00,0.0217391304347826,0.0,0.9684034307691112,1.0237587726053343,0.0,0.0,19.31,3.334,11,5,1,4
2024-01-05 12:00:00,0.0320910973084886,0.0,0.8913527076578907,0.9739875305660624,0.0,0.0,18.31,3.648,12,5,1,4
2024-01-05 13:00:00,0.0279503105590062,0.0,0.8716181709234163,0.9672478736834117,0.0,0.0,17.566,3.508,13,5,1,4
2024-01-05 14:00:00,0.0134575569358178,0.0,0.9659759259859491,1.003675800211449,0.0,0.0,16.959,3.013,14,5,1,4
2024-01-05 15:00:00,0.0041407867494824,0.0,0.9861357639294124,1.0455522682862248,0.0,0.0,16.544,2.386,15,5,1,4
2024-01-05 16:00:00,0.0010351966873706,0.0,0.9851904850743158,1.0403696953229784,0.0,0.0,16.219,1.901,16,5,1,4
2024-01-05 17:00:00,0.0,0.0,0.9704345787642777,1.0642478624197478,0.0,0.0,15.831,1.633,17,5,1,4
2024-01-05 18:00:00,0.0020703933747412,0.0,0.8686652933277401,1.009640733527196,0.0,0.0,15.033,2.223,18,5,1,4
2024-01-05 19:00:00,0.0144927536231884,0.0,0.8709981615035449,0.9632944324778328,0.0,0.0,14.244,3.039,19,5,1,4
2024-01-05 20:00:00,0.0320910973084886,0.0,0.8823014406090118,1.0293323805495496,0.0,0.0,13.511,3.638,20,5,1,4
2024-01-05 21:00:00,0.0455486542443064,0.0,0.8777479401377747,1.0394944820356613,0.0,0.0,12.939,3.983,21,5,1,4
2024-01-05 22:00:00,0.062111801242236,0.0,0.8690771150251583,1.0385862787008768,0.0,0.0,12.467,4.331,22,5,1,4
2024-01-05 23:00:00,0.0807453416149068,0.0436408977556109,0.8467758348765332,0.9597209467703807,0.024,0.033,13.163,4.678,23,5,1,4
