scenario,expected_fail_lines,probability
S1,1,0.251667
S2,0,0.251333
S3,2,0.181333
S4,3,0.121
S5,4,0.084333
S6,5,0.052333
S7,6,0.029
S8,7,0.014667
S9,8,0.009333
S10,9,0.003667
S11,10,0.001
S12,11,0.000333
