timestamp,L0,L1,L10,L11,L12,L13,L14,L2,L3,L4,L5,L6,L7,L8,L9
2024-09-01 00:00:00,0.8370851028692033,0.8072232901886319,0.85,0.824662281098587,0.6821265164973581,0.7421956585678003,0.85,0.7537224847795528,0.7568426051116934,0.7836899823483253,0.7811402108466355,0.7338471910532239,0.800086915050063,0.7147864673098097,0.7883487667805112
2024-09-01 01:00:00,0.85,0.85,0.85,0.85,0.7299227280186833,0.7909600405658427,0.85,0.8024958385504082,0.8039611935337814,0.8298235111838961,0.8289493213142002,0.7768036905251554,0.8408341765736205,0.7592235747951916,0.8364719451145166
2024-09-01 02:00:00,0.85,0.85,0.85,0.85,0.7664307878062826,0.8273567932561956,0.85,0.8390123447529759,0.8392555736641896,0.85,0.85,0.8085527884239716,0.85,0.7925911728689541,0.85
2024-09-01 03:00:00,0.85,0.85,0.85,0.85,0.7923045642396832,0.85,0.85,0.85,0.85,0.85,0.85,0.8307380824992618,0.85,0.8163032217644723,0.85
2024-09-01 04:00:00,0.85,0.85,0.6643135907181427,0.85,0.8051719108194498,0.85,0.85,0.85,0.85,0.85,0.85,0.8410940206887101,0.85,0.828098290080726,0.85
2024-09-01 05:00:00,0.85,0.85,0.6234811193062889,0.85,0.8043297742968631,0.85,0.85,0.85,0.85,0.85,0.85,0.8389420153283355,0.85,0.8270512154496731,0.85
2024-09-01 06:00:00,0.85,0.85,0.6055052166606705,0.6567156348341547,0.7893174451965083,0.8484841463146197,0.85,0.85,0.85,0.85,0.85,0.8238790913729337,0.85,0.8127463845703097,0.85
2024-09-01 07:00:00,0.788936466918219,0.85,0.5703420277080492,0.5304338685009017,0.7571351121102131,0.8152250005775558,0.85,0.826558220320691,0.8297155185244165,0.85,0.8486491365606786,0.7932314778098963,0.85,0.7823533328599185,0.85
2024-09-01 08:00:00,0.6761441291927626,0.6766724075112711,0.5363999655460363,0.4964844161066192,0.7295757516051626,0.7847123325079369,0.6896265435586354,0.7963104817069722,0.8011895235700227,0.8284332055561453,0.8177318093805156,0.7642097511232542,0.8324959543901608,0.7548038747718541,0.8225735225340435
2024-09-01 09:00:00,0.47318482638382264,0.5427556347728714,0.48252419768563604,0.44344887621801055,0.686442294861097,0.7354603270514107,0.5718407012172699,0.7474126373153586,0.7550932683512676,0.78411151642858,0.7703581985897727,0.7182940820883993,0.7913718197656441,0.7102608982231116,0.5968009677537844
