baseline_best_val_mse,baseline_horizon_mae,baseline_val_mae,delta_best_val_mse,delta_horizon_mae,delta_val_mae,metapath_best_val_mse,metapath_horizon_mae,metapath_val_mae,name,status
0.20959116518497467,0.16313351756996577,0.34678717851638796,0.004989564418792725,-0.018574253718058265,-0.007415135520877303,0.2145807296037674,0.1445592638519075,0.33937204299551066,s01_k4_h80_lr0.006_ep700,ok
0.20813588798046112,0.1701106972164578,0.35004202019084585,0.004863262176513672,-0.01922211249669395,-0.007754261927171213,0.2129991501569748,0.15088858471976385,0.34228775826367464,s02_k4_h80_lr0.0055_ep800,ok
0.20655640959739685,0.17829059362411498,0.3538467096559929,0.0046766698360443115,-0.019908930361270893,-0.008131457639462991,0.21123307943344116,0.15838166326284409,0.3457152520165299,s03_k4_h80_lr0.005_ep900,ok
0.20485538244247437,0.18803627143303553,0.3583670462622787,0.0044029951095581055,-0.020636042124695247,-0.008555836569179187,0.20925837755203247,0.16740022930834028,0.34981120969309953,s04_k4_h80_lr0.0045_ep1000,ok
0.20655640959739685,0.17829059362411498,0.3538467096559929,0.004678025841712952,-0.019897111753622687,-0.008126610698121983,0.2112344354391098,0.1583934818704923,0.3457200989578709,s05_k3_h80_lr0.005_ep900,ok
0.20655640959739685,0.17829059362411498,0.3538467096559929,0.004676073789596558,-0.019895515176984985,-0.008125777678056167,0.2112324833869934,0.15839507844713,0.34572093197793674,s06_k5_h80_lr0.005_ep900,ok
0.22796955704689026,0.09944292952617009,0.31846315517570034,-0.011999368667602539,0.03747968988286124,0.015312011314160878,0.21597018837928772,0.13692261940903133,0.3337751664898612,s07_k4_h72_lr0.006_ep800,ok
0.20005196332931519,0.21879139277670118,0.3723056056282737,0.005943849682807922,-0.031929981046252776,-0.014894866040258692,0.2059958130121231,0.1868614117304484,0.357410739588015,s08_k4_h88_lr0.006_ep800,ok
0.21803702414035797,0.12370316965712441,0.32773721398729266,-0.02022823691368103,0.15781886544492507,0.07260911464691161,0.19780878722667694,0.2815220351020495,0.4003463286342043,s09_k4_h96_lr0.006_ep800,ok
0.2155868411064148,0.13184750974178314,0.3309970853906689,-0.01761503517627716,0.15029278496901197,0.06962467865510424,0.19797180593013763,0.2821402947107951,0.40062176404577315,s10_k3_h96_lr0.005_ep900,ok
0.20236851274967194,0.22331203371286393,0.37390888134638467,-0.004300668835639954,0.04874396224816638,0.02223486900329591,0.19806784391403198,0.2720559959610303,0.3961437503496806,s11_k4_h64_lr0.007_ep700,ok
,,,,,,,,,s12_k4_h112_lr0.0045_ep1000,failed
