scenario,expected_fail_lines,probability
S1,6,0.069333
S2,9,0.067333
S3,5,0.064667
S4,7,0.061333
S5,4,0.060333
S6,3,0.059333
S7,8,0.057333
S8,11,0.053667
S9,12,0.051667
S10,2,0.048333
S11,10,0.045
S12,13,0.043667
S13,14,0.040667
S14,1,0.040333
S15,15,0.035333
S16,17,0.023667
S17,16,0.023
S18,0,0.022
S19,18,0.021
S20,19,0.018333
S21,22,0.015667
S22,21,0.014333
S23,20,0.013
S24,23,0.010667
S25,25,0.009333
S26,24,0.008333
S27,26,0.005
S28,27,0.005
S29,28,0.003667
S30,29,0.002
S31,31,0.002
S32,30,0.001667
S33,32,0.000667
S34,33,0.000667
S35,34,0.000667
S36,37,0.000333
S37,39,0.000333
S38,40,0.000333
