timestamp,selected_strategy,generation_cost,reserve_cost,startup_shutdown_cost,load_shedding_penalty,total_cost
2024-09-02 00:00:00,SCUC,113.56926374140102,5.419775316705044,99542.453406588,0.0,99661.44244564611
2024-09-02 01:00:00,SCUC,90.18279656929991,5.12310536269945,60.53661579694494,0.0,155.8425177289443
2024-09-02 02:00:00,SCUC,72.66088187620099,4.839984722944834,0.0,0.0,77.50086659914582
2024-09-02 03:00:00,SCUC,60.03249140156754,4.6045912741121295,0.9317794883036367,0.0,65.5688621639833
2024-09-02 04:00:00,SCUC,55.17428822041485,4.438446055256337,0.0,0.0,59.61273427567119
2024-09-02 05:00:00,SCUC,57.63369489862359,4.316183277481344,0.0,0.0,61.94987817610493
2024-09-02 06:00:00,SCUC,69.54508314037233,4.372549731498681,0.0,0.0,73.917632871871
2024-09-02 07:00:00,SCUC,91.37512869536133,4.647673862308142,0.0,0.0,96.02280255766946
2024-09-02 08:00:00,SCUC,103.72259197090344,4.603857035547906,0.0,0.0,108.32644900645134
2024-09-02 09:00:00,SCUC,121.70996527707365,4.836606007979541,0.0,0.0,126.54657128505319
2024-09-02 10:00:00,SCUC,134.93509891208916,5.113330064036985,0.0,0.0,140.04842897612613
2024-09-02 11:00:00,SCUC,139.99775065574227,5.316358043809805,0.0,0.0,145.31410869955207
2024-09-02 12:00:00,SCUC,136.12889703371982,5.22937618311506,0.0,0.0,141.35827321683487
2024-09-02 13:00:00,SCUC,130.12673338106868,5.080186640579806,0.0,0.0,135.20692002164847
2024-09-02 14:00:00,SCUC,128.9609687166403,5.110544456892111,0.0,0.0,134.07151317353242
2024-09-02 15:00:00,SCUC,130.13646683251267,5.169996480949659,0.0,0.0,135.30646331346233
2024-09-02 16:00:00,SCUC,133.75796503900094,5.262511705564206,0.0,0.0,139.02047674456514
2024-09-02 17:00:00,SCUC,142.87915834706814,5.526169348019715,0.0,0.0,148.40532769508786
2024-09-02 18:00:00,SCUC,152.37638298035972,5.785443058216238,0.0,0.0,158.16182603857595
2024-09-02 19:00:00,SCUC,159.15250380148302,6.034768957393908,0.0,0.0,165.18727275887693
2024-09-02 20:00:00,SCUC,154.73332031529424,5.863578454053268,0.0,0.0,160.5968987693475
2024-09-02 21:00:00,SCUC,150.5213350004973,5.703966378966202,0.0,0.0,156.2253013794635
2024-09-02 22:00:00,SCUC,145.2826973332205,5.5308581115222815,0.0,0.0,150.8135554447428
2024-09-02 23:00:00,SCUC,123.73204271462146,5.158590753406605,0.0,0.0,128.89063346802806
