label_method,model_group,n,val_mae_mean,val_mae_std,best_val_mse_mean,high_risk_mae_mean
c3po_ref,A0_baseline,1,0.10714750484083638,,0.022257115691900253,0.3015513259630937
c3po_ref,A1_metapath_fixed,1,0.1058992814554861,,0.03910934552550316,0.3571810997449435
c3po_ref,A2_metapath_adaptive_global,1,0.1059148355725814,,0.039204008877277374,0.35712019755290103
c3po_ref,A3_metapath_adaptive_context,1,0.11741020241470047,,0.020196842029690742,0.22215635501421416
