方法,方法类别,参考文献,Total Cost ↓,EENS ↓,关键负荷供电率 ↑,Overload Count ↓,Max Line Loading ↓,Robustness ↑,Rapidity ↑,Sustainability ↑,TOPSIS Score ↑,Runtime (s) ↓
SCUC,经典基线,Carrion & Arroyo (2006),19658.908539266497,12.664982564150598,0.5703219261240973,0.0,0.0569774743751148,0.5703219261240973,0.0497870683678639,0.5900785455439952,0.8113085099665513,0.0638767999989795
Stochastic UC,经典基线,Takriti et al. (1996),19201.002415761173,12.074835619159842,0.5906205354199807,0.0,0.0451639388534495,0.590343525154572,0.0497870683678639,0.6032225208293551,0.8369718189381404,0.213595000001078
Robust UC,经典基线,Bertsimas & Sim (2004); Zhao & Guan (2013),55038.43347340063,20.020460818948127,0.4270036044109472,0.0,0.0652744372333258,0.3207765585762934,0.0497870683678639,0.3308789135537839,6.5692694041147526e-15,0.1834885999996913
Wang-2024复现,同领域方法,Wang et al. (2024),49724.24302252362,20.020460818948187,0.8647986527774502,0.0,0.0462932267780804,0.3207765585762914,0.0497870683678639,0.3308789135537822,0.2378987418364241,0.1771907000002102
GridAgent (Ours),本文方法,-,25878.06208632419,18.849255302974367,0.8656496656484095,0.0,0.0462932267780804,0.3605114202444736,0.0497870683678639,0.3668374596032042,0.2848017470157557,0.4370612999991863
相对最佳基线提升(%),-,-,-34.77453690168874,-56.10361828085809,0.09840589693637586,0.0,-2.5004194791231042,-38.93192609335735,0.0,-39.18704177376389,-65.97236124663296,-584.2254151838678
