scenario,expected_fail_lines,probability
S1,0,0.257667
S2,1,0.233667
S3,2,0.176667
S4,3,0.133667
S5,4,0.086667
S6,5,0.052667
S7,6,0.033333
S8,7,0.015
S9,8,0.007
S10,9,0.003
S11,10,0.000333
S12,12,0.000333
