scenario,expected_fail_lines,probability
S1,0,0.283
S2,1,0.273667
S3,2,0.184333
S4,3,0.127
S5,4,0.069333
S6,5,0.036
S7,6,0.014667
S8,7,0.008333
S9,8,0.003
S10,9,0.000333
S11,11,0.000333
