scenario,expected_fail_lines,probability
S1,0,0.345667
S2,1,0.246333
S3,2,0.129
S4,3,0.093
S5,4,0.065333
S6,5,0.046
S7,6,0.029333
S8,7,0.024
S9,8,0.01
S10,9,0.006
S11,10,0.003
S12,11,0.002
S13,12,0.000333
