timestamp,wind_renewables_ninja_wind_electricity,pv_renewables_ninja_pv_electricity,load_load_load_region1,load_load_load_region2,pv_renewables_ninja_pv_irradiance_direct,pv_renewables_ninja_pv_irradiance_diffuse,pv_renewables_ninja_pv_temperature,wind_renewables_ninja_wind_wind_speed,HourOfDay,DayOfYear,Month,Weekday
2024-01-01 00:00:00,0.139751552795031,0.0324189526184538,0.5961724761281465,0.6417647635229003,0.001,0.047,15.094,5.534,0,1,1,0
2024-01-01 01:00:00,0.1376811594202898,0.0922693266832917,0.5545617498556998,0.6000661395077141,0.003,0.098,15.831,5.516,1,1,1,0
2024-01-01 02:00:00,0.1149068322981366,0.1521197007481296,0.5109084713924534,0.5652528455509371,0.006,0.148,16.767,5.208,2,1,1,0
2024-01-01 03:00:00,0.087991718426501,0.199501246882793,0.4750054110369577,0.5358138551594979,0.008,0.187,17.774,4.79,3,1,1,0
2024-01-01 04:00:00,0.0610766045548654,0.2443890274314214,0.44020157401078497,0.5269889491246962,0.012,0.223,18.782,4.316,4,1,1,0
2024-01-01 05:00:00,0.0403726708074534,0.2718204488778055,0.42080183958510836,0.5126480760762205,0.018,0.244,19.63,3.862,5,1,1,0
2024-01-01 06:00:00,0.0351966873706004,0.298004987531172,0.408908460652087,0.5455818652708216,0.031,0.255,20.474,3.721,6,1,1,0
2024-01-01 07:00:00,0.0372670807453416,0.2319201995012468,0.4124927288694643,0.6284709568278077,0.028,0.199,20.807,3.786,7,1,1,0
2024-01-01 08:00:00,0.036231884057971,0.1147132169576059,0.39141792356079874,0.6411712014809807,0.014,0.11,20.533,3.755,8,1,1,0
2024-01-01 09:00:00,0.036231884057971,0.0074812967581047,0.4120026638201617,0.6891205846487819,0.003,0.021,18.672,3.758,9,1,1,0
2024-01-01 10:00:00,0.0393374741200828,0.0,0.45706085224474485,0.7201267219036127,0.0,0.0,17.263,3.838,10,1,1,0
2024-01-01 11:00:00,0.0383022774327122,0.0,0.49365932977183846,0.7384035595372203,0.0,0.0,16.804,3.794,11,1,1,0
2024-01-01 12:00:00,0.036231884057971,0.0,0.4890410981848412,0.7166001953409299,0.0,0.0,16.377,3.741,12,1,1,0
2024-01-01 13:00:00,0.0372670807453416,0.0,0.4698670754800389,0.6934185908805475,0.0,0.0,16.027,3.788,13,1,1,0
2024-01-01 14:00:00,0.0424430641821946,0.0,0.4713036113810378,0.7012496820915801,0.0,0.0,15.691,3.911,14,1,1,0
2024-01-01 15:00:00,0.0486542443064182,0.0,0.4713044120363675,0.7201387241241985,0.0,0.0,15.4,4.046,15,1,1,0
2024-01-01 16:00:00,0.056935817805383,0.0,0.481701652856478,0.7363999909690321,0.0,0.0,15.165,4.22,16,1,1,0
2024-01-01 17:00:00,0.0631469979296066,0.0,0.5127315046796274,0.7809755428190045,0.0,0.0,14.829,4.354,17,1,1,0
2024-01-01 18:00:00,0.0683229813664596,0.0,0.5456303932040159,0.8217971293853567,0.0,0.0,14.402,4.461,18,1,1,0
2024-01-01 19:00:00,0.0714285714285714,0.0,0.5793766778980245,0.858387476074459,0.0,0.0,13.995,4.517,19,1,1,0
2024-01-01 20:00:00,0.0838509316770186,0.0,0.5545197728880256,0.83539418810125,0.0,0.0,13.581,4.723,20,1,1,0
2024-01-01 21:00:00,0.0962732919254658,0.0,0.547180913515936,0.7939503762305136,0.0,0.0,13.241,4.93,21,1,1,0
2024-01-01 22:00:00,0.0962732919254658,0.0,0.5291973232365421,0.761665134012704,0.0,0.0,13.142,4.926,22,1,1,0
2024-01-01 23:00:00,0.082815734989648,0.0199501246882793,0.4892758823754061,0.6938125221550083,0.007,0.03,13.951,4.705,23,1,1,0
2024-01-02 00:00:00,0.046583850931677,0.1745635910224439,0.5999040840899655,0.6436355686493949,0.042,0.13,16.146,4.007,0,2,1,1
2024-01-02 01:00:00,0.0590062111801242,0.341645885286783,0.5569131694293287,0.5991187946387275,0.099,0.224,18.541,4.261,1,2,1,1
2024-01-02 02:00:00,0.062111801242236,0.4538653366583541,0.5204235585069652,0.57697911524859,0.139,0.292,20.53,4.336,2,2,1,1
2024-01-02 03:00:00,0.0579710144927536,0.5635910224438903,0.49269073809637737,0.5419810914448479,0.213,0.331,21.963,4.241,3,2,1,1
2024-01-02 04:00:00,0.0538302277432712,0.6446384039900249,0.45524891531503403,0.519193028517762,0.302,0.331,23.276,4.167,4,2,1,1
2024-01-02 05:00:00,0.0548654244306418,0.6795511221945137,0.43768097580356435,0.5080384297451734,0.383,0.292,24.306,4.193,5,2,1,1
2024-01-02 06:00:00,0.0548654244306418,0.5448877805486284,0.43004237814345275,0.5277845184908296,0.256,0.275,24.561,4.194,6,2,1,1
2024-01-02 07:00:00,0.041407867494824,0.3079800498753117,0.4439274744206952,0.5855827810970765,0.083,0.217,24.055,3.875,7,2,1,1
