indicator,rank,policy,value
Priority,1,priority_with_reserve,0.9866493057812142
Priority,2,priority_no_reserve,0.9784958105939734
Priority,3,uniform_with_reserve,0.9713535643746704
Robustness,1,priority_with_reserve,0.9713535643746704
Robustness,2,uniform_with_reserve,0.9713535643746704
Robustness,3,priority_no_reserve,0.9659008565395356
Rapidity,1,priority_with_reserve,0.9200444146293233
Rapidity,2,uniform_with_reserve,0.9200444146293233
Rapidity,3,priority_no_reserve,0.9200444146293233
Sustainability,1,priority_with_reserve,0.9513503352853824
Sustainability,2,uniform_with_reserve,0.9507601021864942
Sustainability,3,priority_no_reserve,0.9313221126564721
