scenario,expected_fail_lines,probability
S1,4,0.085
S2,5,0.085
S3,2,0.07
S4,3,0.07
S5,8,0.065
S6,9,0.065
S7,12,0.055
S8,1,0.045
S9,7,0.045
S10,14,0.045
S11,6,0.04
S12,11,0.04
S13,16,0.04
S14,10,0.035
S15,13,0.035
S16,15,0.03
S17,17,0.025
S18,0,0.02
S19,18,0.02
S20,19,0.015
S21,21,0.015
S22,20,0.01
S23,22,0.01
S24,25,0.01
S25,27,0.01
S26,34,0.005
S27,36,0.005
S28,38,0.005
