epoch,train_mse,val_mse,warmup_scale,train_gate_reg,train_attn_entropy
1.0,0.18123170733451843,0.02539840154349804,0.01,0.008883493952453136,0.9999669790267944
2.0,0.020976897329092026,0.003209576243534684,0.02,0.003495617303997278,0.9999418258666992
3.0,-0.0014491549227386713,0.0005735934246331453,0.03,0.0006241126684471965,0.9996898770332336
4.0,-0.004244302399456501,0.00014165698667056859,0.04,0.00012104778579669073,0.9998993873596191
5.0,-0.004723741672933102,4.576907303999178e-05,0.05,2.8770660719601437e-05,0.9995872974395752
6.0,-0.004839432425796986,1.8894656022894196e-05,0.06,8.232746040448546e-06,0.9999535083770752
7.0,-0.0048705050721764565,9.966554898710456e-06,0.07,2.7448904802440666e-06,0.999752402305603
8.0,-0.0048825242556631565,6.589868917217245e-06,0.08,1.037992433339241e-06,0.9998916983604431
9.0,-0.004887416493147612,5.176594640943222e-06,0.09,4.359753802418709e-07,0.9999794363975525
10.0,-0.00488900113850832,4.53477105111233e-06,0.1,2.001378902605211e-07,0.9999146461486816
11.0,-0.00488985376432538,4.222932602715446e-06,0.11,9.916551846345101e-08,0.9998966455459595
12.0,-0.004890874959528446,4.062561401951825e-06,0.12,5.251072465739526e-08,0.9999580979347229
13.0,-0.004891125950962305,3.975931122113252e-06,0.13,2.9482137620107096e-08,0.9999999403953552
14.0,-0.004891457501798868,3.927130819647573e-06,0.14,1.743757493954945e-08,0.9999794363975525
15.0,-0.004891148302704096,3.898604518326465e-06,0.15,1.0807462480499908e-08,0.9999616742134094
16.0,-0.0048912703059613705,3.881354132317938e-06,0.16,6.986286216204007e-09,0.9999662041664124
17.0,-0.004891416523605585,3.870627551805228e-06,0.17,4.6913970486173184e-09,0.9999803304672241
18.0,-0.004891404882073402,3.863796791847562e-06,0.18,3.261035663726375e-09,0.999993622303009
19.0,-0.004891428630799055,3.859333901345963e-06,0.19,2.339085813929387e-09,0.9999963641166687
20.0,-0.004891412798315287,3.856356670439709e-06,0.2,1.7265335827687522e-09,0.9999907612800598
21.0,-0.004891411401331425,3.8543398659385275e-06,0.21,1.30817434662589e-09,0.9999845623970032
22.0,-0.004891363903880119,3.8529460653080605e-06,0.22,1.0151616214315595e-09,0.9999821782112122
23.0,-0.0048914216458797455,3.851978817692725e-06,0.23,8.051505018258354e-10,0.9999879598617554
24.0,-0.004891479387879372,3.8512916944455355e-06,0.24,6.514555561665247e-10,0.9999961256980896
