timestamp,unit_id,bus,u,p,reserve,startup,shutdown
2024-09-01 00:00:00,TH0,0,0.0,0.0,0.0,0.0,1.0
2024-09-01 00:00:00,EMG_1,1,1.0,0.162,0.017999999999999988,0.0,0.0
2024-09-01 00:00:00,EMG_2,3,1.0,-0.0,0.15,0.0,0.0
2024-09-01 00:00:00,EMG_3,4,1.0,0.07035189614044923,0.029648103859550773,0.0,0.0
2024-09-01 01:00:00,TH0,0,0.0,0.0,0.0,0.0,0.0
2024-09-01 01:00:00,EMG_1,1,1.0,0.008575021362597024,0.17142497863740297,0.0,0.0
2024-09-01 01:00:00,EMG_2,3,1.0,0.135,0.014999999999999986,0.0,0.0
2024-09-01 01:00:00,EMG_3,4,1.0,0.1,0.0,0.0,0.0
2024-09-01 02:00:00,TH0,0,0.0,0.0,0.0,0.0,0.0
2024-09-01 02:00:00,EMG_1,1,1.0,0.15442711926916441,0.02557288073083558,0.0,0.0
2024-09-01 02:00:00,EMG_2,3,1.0,0.0,0.15,0.0,0.0
2024-09-01 02:00:00,EMG_3,4,1.0,0.1,-0.0,0.0,0.0
2024-09-01 03:00:00,TH0,0,0.0,0.0,0.0,0.0,0.0
2024-09-01 03:00:00,EMG_1,1,1.0,0.18,-0.0,0.0,0.0
2024-09-01 03:00:00,EMG_2,3,1.0,0.015000000000000568,0.135,0.0,0.0
2024-09-01 03:00:00,EMG_3,4,1.0,0.06843577087244201,0.03156422912755799,0.0,0.0
2024-09-01 04:00:00,TH0,0,0.0,0.0,0.0,0.0,0.0
2024-09-01 04:00:00,EMG_1,1,1.0,0.054152704749164116,0.1258472952508355,0.0,0.0
2024-09-01 04:00:00,EMG_2,3,1.0,0.15,0.0,0.0,0.0
2024-09-01 04:00:00,EMG_3,4,1.0,0.009999999999999995,0.034018752606177954,0.0,0.0
2024-09-01 05:00:00,TH0,0,0.0,0.0,0.0,0.0,0.0
2024-09-01 05:00:00,EMG_1,1,1.0,0.0,0.11786415201477615,0.0,0.0
2024-09-01 05:00:00,EMG_2,3,1.0,0.11270416341304401,0.03729583658695598,0.0,0.0
2024-09-01 05:00:00,EMG_3,4,1.0,0.1,0.0,0.0,0.0
