scenario,expected_fail_lines,probability
S1,8,0.074667
S2,5,0.067333
S3,7,0.067333
S4,9,0.065333
S5,3,0.065
S6,4,0.065
S7,6,0.054667
S8,2,0.052667
S9,10,0.051333
S10,12,0.048333
S11,11,0.045
S12,13,0.041
S13,1,0.039667
S14,14,0.039
S15,15,0.031
S16,16,0.028333
S17,17,0.024
S18,0,0.023
S19,18,0.017667
S20,19,0.017333
S21,20,0.017333
S22,22,0.012667
S23,21,0.012333
S24,23,0.007
S25,24,0.006667
S26,25,0.006667
S27,26,0.003667
S28,27,0.003333
S29,28,0.002667
S30,29,0.002667
S31,32,0.001667
S32,34,0.001333
S33,31,0.001
S34,30,0.000667
S35,33,0.000667
S36,37,0.000667
S37,35,0.000333
S38,36,0.000333
S39,38,0.000333
S40,40,0.000333
