scenario,expected_fail_lines,probability
S1,5,0.074
S2,9,0.069333
S3,7,0.067333
S4,6,0.062667
S5,8,0.060667
S6,3,0.06
S7,4,0.057
S8,10,0.056667
S9,2,0.055
S10,11,0.055
S11,12,0.044333
S12,13,0.041333
S13,14,0.040333
S14,1,0.035333
S15,15,0.031
S16,17,0.024333
S17,16,0.023333
S18,0,0.022667
S19,19,0.020333
S20,18,0.017667
S21,20,0.015
S22,21,0.014
S23,22,0.011333
S24,23,0.008
S25,25,0.006667
S26,24,0.004667
S27,26,0.003667
S28,27,0.003333
S29,29,0.003
S30,30,0.002667
S31,28,0.002
S32,31,0.002
S33,32,0.001333
S34,35,0.001333
S35,34,0.001
S36,36,0.000667
S37,33,0.000333
S38,38,0.000333
S39,42,0.000333
