scenario,expected_fail_lines,probability
S1,0,0.334
S2,1,0.268333
S3,2,0.161333
S4,3,0.106333
S5,4,0.068333
S6,5,0.036667
S7,6,0.016333
S8,7,0.005667
S9,8,0.001333
S10,9,0.001333
S11,10,0.000333
