run_name,run_dir,status,return_code,skipped,wall_seconds,block,case_id,seed,label_method,contingency_tensor,model_variant,warmup_on,gate_reg_on,risk_weight_on,preset,metapath_topk,hidden_dim,epochs,lr,weight_decay,train_ratio,risk_weight_alpha,risk_weight_beta,risk_weight_threshold,risk_weight_on_metapath_only,metapath_gate_reg_lambda,metapath_attention_entropy_reg_lambda,metapath_warmup_epochs,run_baseline_comparison,val_mae,val_rmse,val_brier,val_high_risk_mae,val_top_risk_mae,best_val_mse,metapath_gate_mean,epochs_effective
0001_A_label-c3po_ref_model-baseline_gnn_seed-42,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_attr_smoke_20260413_230154\0001_A_label-c3po_ref_model-baseline_gnn_seed-42,ok,0,False,0.0,A,A_label-c3po_ref_model-baseline_gnn_seed-42,42,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,baseline_gnn,False,False,False,neutral,3,80,700,0.0035,0.00015,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False,,,,,,,,
0002_A_label-c3po_ref_model-metapath_v1_seed-42,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_attr_smoke_20260413_230154\0002_A_label-c3po_ref_model-metapath_v1_seed-42,ok,0,False,0.0,A,A_label-c3po_ref_model-metapath_v1_seed-42,42,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,metapath_v1,False,False,False,neutral,3,80,700,0.0035,0.00015,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False,,,,,,,,
0003_A_label-wang_qmc_model-baseline_gnn_seed-42,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_attr_smoke_20260413_230154\0003_A_label-wang_qmc_model-baseline_gnn_seed-42,ok,0,False,0.0,A,A_label-wang_qmc_model-baseline_gnn_seed-42,42,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,baseline_gnn,False,False,False,neutral,3,80,700,0.0035,0.00015,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False,,,,,,,,
