scenario,expected_fail_lines,probability
S1,1,0.244333
S2,0,0.233667
S3,2,0.186333
S4,3,0.144
S5,4,0.083
S6,5,0.050667
S7,6,0.031333
S8,7,0.015333
S9,8,0.006
S10,9,0.003
S11,10,0.001667
S12,11,0.000667
