timestamp,load_bus,priority_level,priority_weight,demand,shed,served
2024-09-01 00:00:00,1,1,1.0,0.14942468333024456,0.019819970894388916,0.12960471243585564
2024-09-01 00:00:00,3,1,1.0,0.14942468333024456,0.0,0.14942468333024456
2024-09-01 00:00:00,4,1,1.0,0.14942468333024456,0.019011300302347073,0.13041338302789748
2024-09-01 00:00:00,5,1,1.0,0.14942468333024456,0.0,0.14942468333024456
2024-09-01 00:00:00,6,2,0.5,0.09508843484651926,0.06546319539611645,0.02962523945040281
2024-09-01 00:00:00,7,2,0.5,0.09508843484651926,0.06546319539611645,0.02962523945040281
2024-09-01 00:00:00,8,2,0.5,0.09508843484651926,0.06546319539611645,0.02962523945040281
2024-09-01 00:00:00,9,2,0.5,0.09508843484651926,0.062497327902372495,0.03259110694414676
2024-09-01 00:00:00,10,3,0.2,0.06792031060465661,0.0682028953358044,-0.0002825847311477836
2024-09-01 00:00:00,11,3,0.2,0.06792031060465661,0.04675942528294031,0.021160885321716304
2024-09-01 00:00:00,12,3,0.2,0.06792031060465661,0.05771390501619464,0.010206405588461975
2024-09-01 00:00:00,13,3,0.2,0.06792031060465661,0.05033159923961232,0.017588711365044293
2024-09-01 00:00:00,14,3,0.2,0.06792031060465661,0.0527210737618125,0.015199236842844112
2024-09-01 01:00:00,1,1,1.0,0.14093984639253834,0.0,0.14093984639253834
2024-09-01 01:00:00,3,1,1.0,0.14093984639253834,0.0,0.14093984639253834
2024-09-01 01:00:00,4,1,1.0,0.14093984639253834,0.0,0.14093984639253834
2024-09-01 01:00:00,5,1,1.0,0.14093984639253834,0.0,0.14093984639253834
2024-09-01 01:00:00,6,2,0.5,0.08968899315888804,0.043709915533137224,0.04597907762575081
2024-09-01 01:00:00,7,2,0.5,0.08968899315888804,0.04110670035475855,0.048582292804129484
2024-09-01 01:00:00,8,2,0.5,0.08968899315888804,0.03572413368058307,0.05396485947830497
2024-09-01 01:00:00,9,2,0.5,0.08968899315888804,0.02167427881951957,0.06801471433936847
2024-09-01 01:00:00,10,3,0.2,0.06406356654206288,0.052218221493019315,0.011845345049043568
2024-09-01 01:00:00,11,3,0.2,0.06406356654206288,0.03332688084224657,0.030736685699816316
2024-09-01 01:00:00,12,3,0.2,0.06406356654206288,0.04834056757582239,0.015722998966240492
2024-09-01 01:00:00,13,3,0.2,0.06406356654206288,0.052218221493019315,0.011845345049043568
2024-09-01 01:00:00,14,3,0.2,0.06406356654206288,0.05077930853219363,0.013284258009869251
2024-09-01 02:00:00,1,1,1.0,0.13273551120544272,0.0,0.13273551120544272
2024-09-01 02:00:00,3,1,1.0,0.13273551120544272,0.0,0.13273551120544272
2024-09-01 02:00:00,4,1,1.0,0.13273551120544272,0.0,0.13273551120544272
2024-09-01 02:00:00,5,1,1.0,0.13273551120544272,0.0,0.13273551120544272
2024-09-01 02:00:00,6,2,0.5,0.08446805258528174,0.0,0.08446805258528174
2024-09-01 02:00:00,7,2,0.5,0.08446805258528174,0.0,0.08446805258528174
2024-09-01 02:00:00,8,2,0.5,0.08446805258528174,0.0,0.08446805258528174
2024-09-01 02:00:00,9,2,0.5,0.08446805258528174,0.0,0.08446805258528174
2024-09-01 02:00:00,10,3,0.2,0.06033432327520124,0.03137488744932975,0.028959435825871488
2024-09-01 02:00:00,11,3,0.2,0.06033432327520124,0.04687706554433698,0.013457257730864258
2024-09-01 02:00:00,12,3,0.2,0.06033432327520124,0.03257000424354327,0.02776431903165797
2024-09-01 02:00:00,13,3,0.2,0.06033432327520124,0.029980798637922974,0.030353524637278265
2024-09-01 02:00:00,14,3,0.2,0.06033432327520124,0.040618500231479546,0.019715823043721693
2024-09-01 03:00:00,1,1,1.0,0.12592484676310228,0.0,0.12592484676310228
2024-09-01 03:00:00,3,1,1.0,0.12592484676310228,0.0,0.12592484676310228
2024-09-01 03:00:00,4,1,1.0,0.12592484676310228,0.0,0.12592484676310228
2024-09-01 03:00:00,5,1,1.0,0.12592484676310228,0.0,0.12592484676310228
2024-09-01 03:00:00,6,2,0.5,0.08013399339470145,0.0,0.08013399339470145
2024-09-01 03:00:00,7,2,0.5,0.08013399339470145,0.0,0.08013399339470145
2024-09-01 03:00:00,8,2,0.5,0.08013399339470145,0.0,0.08013399339470145
2024-09-01 03:00:00,9,2,0.5,0.08013399339470145,0.0,0.08013399339470145
2024-09-01 03:00:00,10,3,0.2,0.05723856671050103,0.019784626340292336,0.037453940370208695
2024-09-01 03:00:00,11,3,0.2,0.05723856671050103,0.03934552106336536,0.017893045647135668
2024-09-01 03:00:00,12,3,0.2,0.05723856671050103,0.019096731848542513,0.03814183486195852
2024-09-01 03:00:00,13,3,0.2,0.05723856671050103,0.002286761121555685,0.05495180558894534
2024-09-01 03:00:00,14,3,0.2,0.05723856671050103,0.015604147847720275,0.041634418862780756
