scenario,expected_fail_lines,probability
S1,0,0.25
S2,1,0.25
S3,2,0.17
S4,3,0.13
S5,4,0.09
S6,5,0.04
S7,6,0.04
S8,7,0.02
S9,9,0.005
S10,10,0.005
