scenario,expected_fail_lines,probability
S1,5,0.078667
S2,3,0.078333
S3,4,0.076667
S4,6,0.070667
S5,7,0.069
S6,2,0.066667
S7,8,0.063667
S8,1,0.059
S9,9,0.057
S10,10,0.051333
S11,11,0.046
S12,0,0.037
S13,12,0.036333
S14,13,0.034333
S15,15,0.026667
S16,14,0.024667
S17,16,0.02
S18,17,0.02
S19,18,0.013333
S20,19,0.011667
S21,21,0.009667
S22,20,0.008667
S23,23,0.008333
S24,25,0.006
S25,22,0.005333
S26,24,0.005333
S27,26,0.003
S28,28,0.003
S29,27,0.002
S30,29,0.001667
S31,30,0.001333
S32,31,0.001
S33,33,0.001
S34,32,0.000667
S35,34,0.000667
S36,37,0.000667
S37,36,0.000333
S38,39,0.000333
