timestamp,selected_strategy,generation_cost,reserve_cost,startup_shutdown_cost,load_shedding_penalty,total_cost
2024-09-02 00:00:00,Robust_UC,94.08718772734218,4.516479430587527,99581.77951931796,0.0,99680.3831864759
2024-09-02 01:00:00,Robust_UC,93.37023000134134,4.269254468916224,0.0,0.0,97.63948447025757
2024-09-02 02:00:00,Robust_UC,96.33465764773733,4.033320602454048,20.688032105900895,0.0,121.05601035609229
2024-09-02 03:00:00,Robust_UC,82.04526336820959,3.83715939509346,0.0,0.0,85.88242276330305
2024-09-02 04:00:00,Robust_UC,83.6771096703769,3.698705046046956,0.0,0.0,87.37581471642385
2024-09-02 05:00:00,Robust_UC,82.81608098339838,3.5968193979011582,0.0,0.0,86.41290038129954
2024-09-02 06:00:00,Robust_UC,70.97916727553482,3.643791442915564,0.0,0.0,74.62295871845038
2024-09-02 07:00:00,Robust_UC,77.78317064659109,3.873061551923511,0.0,0.0,81.6562321985146
2024-09-02 08:00:00,Robust_UC,80.70271716540095,3.836547529623247,0.0,0.0,84.5392646950242
2024-09-02 09:00:00,Robust_UC,96.69280701033192,4.030505006649478,0.0,0.0,100.7233120169814
2024-09-02 10:00:00,Robust_UC,98.09075313047813,4.261108386697357,0.0,0.0,102.3518615171755
2024-09-02 11:00:00,Robust_UC,117.6602772411389,4.430298369841548,0.0,0.0,122.09057561098045
2024-09-02 12:00:00,Robust_UC,116.45192101286078,4.357813485929121,0.0,0.0,120.80973449878991
2024-09-02 13:00:00,Robust_UC,114.49530958726834,4.233488867149752,0.0,0.0,118.7287984544181
2024-09-02 14:00:00,Robust_UC,115.46355303025013,4.258787047409983,0.0,0.0,119.7223400776601
2024-09-02 15:00:00,Robust_UC,116.86648565093586,4.308330400791233,0.0,0.0,121.17481605172709
2024-09-02 16:00:00,Robust_UC,119.93568477092744,4.385426421303519,0.0,0.0,124.32111119223096
2024-09-02 17:00:00,Stochastic_UC,119.71740852448367,3.6243871023596554,0.0,0.0,123.34179562684332
2024-09-02 18:00:00,Stochastic_UC,115.71322407016963,2.8927215291081207,0.0,0.0,118.60594559927775
2024-09-02 19:00:00,SCUC,39.555834073724824,4.400352364766394,0.0,1703.056412137731,1747.0125985762222
2024-09-02 20:00:00,SCUC,40.019475020272466,4.275525956080502,0.0,1627.8840583522733,1672.1790593286262
2024-09-02 21:00:00,SCUC,40.451757723633214,4.159142151329519,0.0,1555.4795331342154,1600.0904330091782
2024-09-02 22:00:00,SCUC,40.92059261462719,4.032917372984997,0.0,1460.0137366659505,1504.9672466535628
2024-09-02 23:00:00,Stochastic_UC,79.48647320025978,7.683404849598616,0.0,0.0,87.1698780498584
