method,elapsed_sec,wind_90pct_coverage,pv_90pct_coverage,wind_pv_corr,correlation_error
DPGMM,401.26379323005676,0.95525956284153,0.995787795992714,-0.07855443454800405,0.009388705394742666
ARIMA,16327.843394041061,0.5502049180327869,0.3698770491803279,0.1163242768338277,0.20426741677657442
LSTM,611.4311547279358,0.31124772313296906,0.45412112932604737,-0.01670923552083135,0.07123390442191536
Copula,3.2089147567749023,0.9643670309653917,0.9966985428051002,-0.0739333639416496,0.014009776001097124
