scenario,expected_fail_lines,probability
S1,8,0.071333
S2,7,0.070333
S3,9,0.067
S4,5,0.066667
S5,3,0.065
S6,4,0.064333
S7,2,0.054
S8,6,0.053667
S9,10,0.052333
S10,11,0.045333
S11,12,0.045
S12,13,0.043333
S13,1,0.039
S14,14,0.035667
S15,15,0.034667
S16,16,0.028333
S17,0,0.023333
S18,17,0.021667
S19,20,0.019333
S20,18,0.018
S21,19,0.016667
S22,21,0.013333
S23,22,0.011
S24,23,0.008
S25,25,0.007333
S26,24,0.004667
S27,26,0.004667
S28,27,0.003667
S29,28,0.002667
S30,29,0.002333
S31,32,0.002
S32,31,0.001333
S33,33,0.000667
S34,34,0.000667
S35,35,0.000667
S36,37,0.000667
S37,30,0.000333
S38,36,0.000333
S39,38,0.000333
S40,41,0.000333
