scenario,expected_fail_lines,probability
S1,5,0.073
S2,7,0.068333
S3,6,0.066
S4,4,0.065
S5,10,0.060333
S6,8,0.06
S7,3,0.057
S8,11,0.056667
S9,9,0.056333
S10,2,0.055
S11,12,0.045
S12,1,0.042333
S13,13,0.039667
S14,14,0.039333
S15,15,0.029667
S16,16,0.028333
S17,0,0.022333
S18,18,0.020667
S19,17,0.019667
S20,20,0.016333
S21,19,0.016
S22,21,0.011667
S23,23,0.011667
S24,22,0.008667
S25,24,0.008
S26,25,0.008
S27,26,0.003667
S28,27,0.002667
S29,29,0.002333
S30,28,0.002
S31,30,0.001333
S32,31,0.000667
S33,32,0.000667
S34,33,0.000667
S35,34,0.000667
S36,39,0.000333
