scenario,expected_fail_lines,probability
S1,1,0.244
S2,0,0.241667
S3,2,0.191
S4,3,0.140333
S5,4,0.082667
S6,5,0.047667
S7,6,0.030333
S8,7,0.013
S9,8,0.005
S10,9,0.002333
S11,10,0.001667
S12,11,0.000333
