scenario,expected_fail_lines,probability
S1,0,0.362
S2,1,0.290667
S3,2,0.170667
S4,3,0.094667
S5,4,0.046333
S6,5,0.022667
S7,6,0.009333
S8,7,0.003
S9,8,0.000333
S10,9,0.000333
