timestamp,L0,L1,L10,L11,L12,L13,L14,L2,L3,L4,L5,L6,L7,L8,L9
2024-09-01 00:00:00,0.3980950851088801,0.39241725904430325,0.36484099679981263,0.38052154685782974,0.43272198153811003,0.4234296359512547,0.39849247145817684,0.42165022956019904,0.4290144641158958,0.4315340009035904,0.4219444383426777,0.42492813559911596,0.4320459981458167,0.433538776463098,0.4177971434472972
2024-09-01 01:00:00,0.42255743937873436,0.4165619280994291,0.3811985814711427,0.3995818356903743,0.45942350176222535,0.4497427157023816,0.42087071160785616,0.4475409792912247,0.45567338512579697,0.45848916095307574,0.4470243470492922,0.4509275064823962,0.4595314967637847,0.4611537470484547,0.4427737642735039
2024-09-01 02:00:00,0.4418884595877482,0.4358647596423544,0.3939599096430735,0.41479361725816455,0.48128750665978665,0.47097414662221126,0.4390006431164907,0.4682980069898777,0.47719258210522,0.4804586955496248,0.46746291729997,0.47205921909255444,0.4818525208068067,0.4835133612236854,0.46285181138255926
2024-09-01 03:00:00,0.4565178918025471,0.45062408579434066,0.4038419887056114,0.42669743898910595,0.49841667927702116,0.48741523441698525,0.45319734853709603,0.48426371250018496,0.49388806993338386,0.4976478552585453,0.48338642174721164,0.48852470191247693,0.4992479250826005,0.500887231188344,0.47833083354441186
2024-09-01 04:00:00,0.4611310867654715,0.4555949241251027,0.21891956680148672,0.4308878032012471,0.5053675764634588,0.4936197496459648,0.45854009528840284,0.49004095147969534,0.5002691563026541,0.5045342563851918,0.48953884122791536,0.4948960049430688,0.5060725022552082,0.5076470746422508,0.4839138411807634
2024-09-01 05:00:00,0.4554743434294271,0.45044356810254355,0.19286496580480292,0.42677836425458554,0.501680619943951,0.4892196036351466,0.45448510493990263,0.485298369451714,0.49601832966309917,0.5007659270331623,0.4854333259593587,0.49065343603693284,0.5018433526565548,0.5033499262539907,0.47920762340006295
2024-09-01 06:00:00,0.4389429346665989,0.43453134494394,0.1814612949606125,0.25885373112232046,0.4863987568656469,0.4733514658433643,0.4402688166532832,0.4692367931349636,0.4802451890406773,0.48539523952512753,0.4701911814779237,0.4748888812360815,0.4856091368091737,0.48705525654998927,0.46341983908489565
2024-09-01 07:00:00,0.33840983590118284,0.4086600994708772,0.16311653373440738,0.18340868106017164,0.45988085815915386,0.4465470886186261,0.4163727226710868,0.44245488177561637,0.45346792083938603,0.45886395246077716,0.4442324969140358,0.44803404157002813,0.4578200186305131,0.4592058807857854,0.4371264580543726
2024-09-01 08:00:00,0.2658971256764096,0.28422811580229645,0.14437442187603755,0.16330111999387265,0.43357183291561596,0.41966794588203854,0.2613813340245149,0.415614364776286,0.42650866765649437,0.4323099496724032,0.4184319295932081,0.42105817940511864,0.429991021055538,0.431315064842602,0.4107892742362172
2024-09-01 09:00:00,0.15157983948285328,0.20882280442169537,0.1238985870297252,0.14097868277673073,0.4036545622999751,0.38889005938201915,0.195541937267048,0.3851885454142475,0.395736463210868,0.4022588216030302,0.3893610625438862,0.3898577308745732,0.39794494946875353,0.3990634327793592,0.2790535813039853
2024-09-01 10:00:00,0.12603600117488473,0.1205359931260305,0.10370906543381714,0.11682489746915911,0.36790365207270154,0.34818050169042414,0.13019578004693555,0.21975203557595002,0.35439140157298227,0.36539607347835384,0.25904379537736355,0.19631641860256382,0.35084830254806726,0.35209358450269823,0.14137303617522262
2024-09-01 11:00:00,0.11427044066020448,0.10952732732312469,0.08840590952930676,0.10285363376875374,0.3573663086003924,0.20680153102327578,0.11793872594130765,0.13182566538615095,0.3440038829015382,0.3557826695559448,0.14049837311264704,0.13138917949176987,0.3391577027192367,0.34021628680943955,0.129157337842599
