scenario,expected_fail_lines,probability
S1,5,0.071
S2,3,0.070667
S3,7,0.066333
S4,8,0.065667
S5,4,0.065
S6,6,0.062333
S7,9,0.058
S8,11,0.056333
S9,10,0.054333
S10,2,0.048333
S11,12,0.046333
S12,1,0.042
S13,13,0.041333
S14,14,0.039333
S15,15,0.029333
S16,16,0.023
S17,0,0.022667
S18,18,0.022333
S19,17,0.021333
S20,19,0.014667
S21,21,0.013
S22,20,0.012667
S23,22,0.011667
S24,24,0.007
S25,25,0.006333
S26,23,0.006
S27,26,0.003667
S28,27,0.003
S29,31,0.003
S30,28,0.002667
S31,29,0.002333
S32,30,0.002333
S33,40,0.001333
S34,33,0.001
S35,34,0.001
S36,36,0.001
S37,32,0.000667
S38,35,0.000667
S39,44,0.000333
