scenario,expected_fail_lines,probability
S1,1,0.252667
S2,0,0.231667
S3,2,0.187333
S4,3,0.142667
S5,4,0.091333
S6,5,0.044667
S7,6,0.028
S8,7,0.013
S9,8,0.005667
S10,9,0.002667
S11,11,0.000333
