scenario,expected_fail_lines,probability
S1,6,0.072667
S2,4,0.071
S3,3,0.062
S4,5,0.06
S5,2,0.059333
S6,7,0.059333
S7,8,0.057
S8,9,0.055667
S9,10,0.053
S10,12,0.051333
S11,11,0.049667
S12,13,0.043333
S13,14,0.037667
S14,1,0.03
S15,16,0.029
S16,15,0.028333
S17,17,0.024333
S18,18,0.023333
S19,0,0.023
S20,19,0.017333
S21,20,0.016333
S22,21,0.012667
S23,22,0.012667
S24,23,0.008
S25,27,0.008
S26,24,0.007667
S27,28,0.006333
S28,25,0.006
S29,26,0.004333
S30,30,0.003333
S31,32,0.002333
S32,29,0.001667
S33,31,0.001333
S34,35,0.001
S35,33,0.000333
S36,36,0.000333
S37,42,0.000333
