policy,allow_reserve,rr,ra,expected_total_shed,expected_weighted_shed_cost,expected_critical_shed,critical_served_ratio,secondary_served_ratio,tertiary_served_ratio,worst_scenario_id
priority_with_reserve,True,0.2918269049071561,0.33096831466826176,4.915836552547177,135.36730335946527,1.338953938858862,0.5778246987810248,0.06561076581042,0.027969457031034987,3
priority_no_reserve,False,0.22652559140862746,0.24895613354269522,5.369130508572609,158.03200116073683,1.7922478948842935,0.43490005673629994,0.06561076581042,0.027969457031034987,3
uniform_with_reserve,True,0.2918269049071561,0.20078341352353785,4.915836552547177,245.79182762735894,4.915836552547179,0.291826904907156,,,3
