load_bus,priority_level,priority_weight,demand_share
1,1,1.0,0.11384779745501551
3,1,1.0,0.15010260363896819
4,1,1.0,0.10125945878171216
5,1,1.0,0.09168345512098654
6,2,0.5,0.11385461683731714
7,2,0.5,0.06025629556251085
8,2,0.5,0.08389318267321608
9,2,0.5,0.07759166698463224
10,3,0.2,0.04045077934489174
11,3,0.2,0.018537052683566962
12,3,0.2,0.05598954104030336
13,3,0.2,0.010035337073897775
14,3,0.2,0.08249821280298152
