scenario,expected_fail_lines,probability
S1,0,0.247
S2,1,0.239
S3,2,0.181333
S4,3,0.137667
S5,4,0.087
S6,5,0.050333
S7,6,0.030667
S8,7,0.014667
S9,8,0.008
S10,9,0.004
S11,12,0.000333
