scenario,expected_fail_lines,probability
S1,0,0.263667
S2,1,0.232
S3,2,0.188667
S4,3,0.116333
S5,4,0.088333
S6,5,0.054333
S7,6,0.029667
S8,7,0.015333
S9,8,0.005333
S10,9,0.005
S11,10,0.001333
