scenario,expected_fail_lines,probability
S1,0,0.405
S2,1,0.284
S3,2,0.163
S4,3,0.082
S5,4,0.039667
S6,5,0.016667
S7,6,0.006333
S8,7,0.003
S9,9,0.000333
