failure_model,contingency_method,reserve_ratio,run_tag,Priority,Robustness,Rapidity,Sustainability,RA,expected_total_shed,expected_weighted_shed_cost,run_dir,TOPSIS_Score,TOPSIS_Rank
batts,c3po_ref,0.3,batts__c3po_ref__rr0p3,0.7429519825999797,0.3590999737504171,0.049787068367863944,0.34554580781857736,0.4162405826760349,57.84271343429812,1430.3165383912924,C:\Users\yuhan\Desktop\gridagent1\results\module_sensitivity\formal2024\runs\batts__c3po_ref__rr0p3,1.0,1
batts,trim_ref,0.3,batts__trim_ref__rr0p3,0.742772813943623,0.35908843762559,0.049787068367863944,0.34554580781857736,0.4161700562192867,57.84375459631276,1430.5387057902458,C:\Users\yuhan\Desktop\gridagent1\results\module_sensitivity\formal2024\runs\batts__trim_ref__rr0p3,0.9998683412473626,2
schloemer,c3po_ref,0.3,schloemer__c3po_ref__rr0p3,0.6696602943322412,0.3518777065994873,0.049787068367863944,0.3411353794278261,0.4003716772932404,58.49453979105737,1531.8820289782095,C:\Users\yuhan\Desktop\gridagent1\results\module_sensitivity\formal2024\runs\schloemer__c3po_ref__rr0p3,0.9342787689787347,3
schloemer,trim_ref,0.3,schloemer__trim_ref__rr0p3,0.6692956435836237,0.3518346213493141,0.049787068367863944,0.3410388830210701,0.4002064934625959,58.49842833478797,1532.340157940284,C:\Users\yuhan\Desktop\gridagent1\results\module_sensitivity\formal2024\runs\schloemer__trim_ref__rr0p3,0.9337532012904166,4
batts,wang_qmc,0.3,batts__wang_qmc__rr0p3,0.6880196133949504,0.3562121422144214,0.049787068367863944,0.33321231368123816,0.4039928653501963,58.10334692648349,1501.0402886100303,C:\Users\yuhan\Desktop\gridagent1\results\module_sensitivity\formal2024\runs\batts__wang_qmc__rr0p3,0.9186036700324621,5
batts,wang_mc,0.3,batts__wang_mc__rr0p3,0.6870246076932753,0.3559386332085187,0.049787068367863944,0.33321231368123816,0.4035379746885319,58.12803174845597,1503.1695989739046,C:\Users\yuhan\Desktop\gridagent1\results\module_sensitivity\formal2024\runs\batts__wang_mc__rr0p3,0.9180002492093229,6
schloemer,wang_qmc,0.3,schloemer__wang_qmc__rr0p3,0.4804423946129622,0.3371084819541275,0.049787068367863944,0.3242975092813547,0.3723547240751305,59.827496560941526,1787.1463705602998,C:\Users\yuhan\Desktop\gridagent1\results\module_sensitivity\formal2024\runs\schloemer__wang_qmc__rr0p3,0.7663328906324957,7
schloemer,wang_mc,0.3,schloemer__wang_mc__rr0p3,0.4804423946129622,0.3371084819541275,0.049787068367863944,0.3242975092813547,0.3723547240751305,59.827496560941526,1787.1463705602998,C:\Users\yuhan\Desktop\gridagent1\results\module_sensitivity\formal2024\runs\schloemer__wang_mc__rr0p3,0.7663328906324957,8
batts,c3po_ref,0.15,batts__c3po_ref__rr0p15,0.6186125898113932,0.2952544950626751,0.049787068367863944,0.28656763220239834,0.3415829625968294,63.60491592541254,1702.5520893505484,C:\Users\yuhan\Desktop\gridagent1\results\module_sensitivity\formal2024\runs\batts__c3po_ref__rr0p15,0.51608073558046,9
batts,trim_ref,0.15,batts__trim_ref__rr0p15,0.6184224830585803,0.295242958937848,0.049787068367863944,0.28656763220239834,0.341513399202538,63.60595708742718,1702.78553274593,C:\Users\yuhan\Desktop\gridagent1\results\module_sensitivity\formal2024\runs\batts__trim_ref__rr0p15,0.51600490768019,10
schloemer,c3po_ref,0.15,schloemer__c3po_ref__rr0p15,0.5445857104266858,0.2881990578825493,0.049787068367863944,0.2844379615408036,0.325765408154803,64.24168549047538,1804.4990628059404,C:\Users\yuhan\Desktop\gridagent1\results\module_sensitivity\formal2024\runs\schloemer__c3po_ref__rr0p15,0.4687257954082271,11
schloemer,trim_ref,0.15,schloemer__trim_ref__rr0p15,0.5443074952928394,0.2882058434024645,0.049787068367863944,0.27945200127297687,0.3256737418381691,64.24107308156934,1804.7555621659728,C:\Users\yuhan\Desktop\gridagent1\results\module_sensitivity\formal2024\runs\schloemer__trim_ref__rr0p15,0.4486015894446807,12
batts,wang_mc,0.15,batts__wang_mc__rr0p15,0.5642897920793581,0.2920931545207768,0.049787068367863944,0.272252279307056,0.3300578472619375,63.89023423957039,1773.751004116912,C:\Users\yuhan\Desktop\gridagent1\results\module_sensitivity\formal2024\runs\batts__wang_mc__rr0p15,0.4377194358710042,13
batts,wang_qmc,0.15,batts__wang_qmc__rr0p15,0.5653793404352564,0.2923666635266794,0.049787068367863944,0.27173940262409335,0.3305451223788779,63.865549417597904,1771.5242304845776,C:\Users\yuhan\Desktop\gridagent1\results\module_sensitivity\formal2024\runs\batts__wang_qmc__rr0p15,0.4369138474561437,14
schloemer,wang_qmc,0.15,schloemer__wang_qmc__rr0p15,0.3529572603633482,0.2778174307852796,0.049787068367863944,0.2673771348767361,0.3016203758613399,65.17865140805088,2052.348650210951,C:\Users\yuhan\Desktop\gridagent1\results\module_sensitivity\formal2024\runs\schloemer__wang_qmc__rr0p15,0.3257193298723328,15
schloemer,wang_mc,0.15,schloemer__wang_mc__rr0p15,0.3529572603633482,0.2778174307852796,0.049787068367863944,0.2673771348767361,0.3016203758613399,65.17865140805088,2052.348650210951,C:\Users\yuhan\Desktop\gridagent1\results\module_sensitivity\formal2024\runs\schloemer__wang_mc__rr0p15,0.3257193298723328,16
batts,c3po_ref,0.05,batts__c3po_ref__rr0p05,0.5254516983701687,0.2513713714015586,0.049787068367863944,0.2462805096119376,0.2926381256086685,67.56546958833802,1897.6047511488612,C:\Users\yuhan\Desktop\gridagent1\results\module_sensitivity\formal2024\runs\batts__c3po_ref__rr0p05,0.2107749788364204,17
batts,trim_ref,0.05,batts__trim_ref__rr0p05,0.5252615916173557,0.2513598352767315,0.049787068367863944,0.2462805096119376,0.2925685622143771,67.56651075035268,1897.838194544243,C:\Users\yuhan\Desktop\gridagent1\results\module_sensitivity\formal2024\runs\batts__trim_ref__rr0p05,0.21067109997509273,18
