level,avg_topsis,avg_priority,avg_robustness,avg_rapidity,avg_sustainability,avg_cost,module
batts,0.5382082413773828,0.6017493813097973,0.3003934363542033,0.049787068367863944,0.28588513710914,1712.2549583936134,failure_model
schloemer,0.4397320256094946,0.45993139530624655,0.2891644422099045,0.049787068367863944,0.2808395817252062,1903.025165992947,failure_model
c3po_ref,0.5485467266051667,0.5923167457792602,0.2984388402215867,0.049787068367863944,0.2914311997996426,1727.3324092444416,contingency_method
trim_ref,0.5424665949988007,0.5920703618452586,0.298428153124116,0.049787068367863944,0.28975313030924105,1727.6087351750991,contingency_method
wang_mc,0.4324075316481768,0.46922627141147005,0.2910560046397808,0.049787068367863944,0.2762180332270648,1888.354456616362,contingency_method
wang_qmc,0.4324596807216106,0.4697481741960989,0.2911927591427321,0.049787068367863944,0.2760470743327439,1887.264647737218,contingency_method
0.05,0.12782852757923335,0.42725595534851235,0.24492862865121723,0.049787068367863944,0.23707999038721483,2026.902081342797,reserve_ratio
0.15,0.43443562139817143,0.5201889914788512,0.28837462936294406,0.049787068367863944,0.27697139736289983,1833.070597761473,reserve_ratio
0.3,0.9046462515029112,0.6450762180967022,0.35103355983200046,0.049787068367863944,0.3360356905014046,1562.9475074755708,reserve_ratio
