scenario,expected_fail_lines,probability
S1,1,0.241
S2,0,0.227
S3,2,0.188667
S4,3,0.141667
S5,4,0.087667
S6,5,0.052
S7,6,0.032667
S8,7,0.016667
S9,8,0.008333
S10,9,0.003
S11,10,0.000667
S12,12,0.000667
