timestamp,BOOSTER,EMG_1,EMG_2,EMG_3,TH0
2024-09-01 00:00:00,0.0,0.0993518961404492,0.0,0.09,0.0
2024-09-01 01:00:00,0.0,0.18,0.063575021362597,0.0,0.0
2024-09-01 02:00:00,0.0,0.18,0.0,0.0744271192691644,0.0
2024-09-01 03:00:00,0.0,0.163435770872442,0.0,0.1,0.0
2024-09-01 04:00:00,0.0,0.0351339521429865,0.135,0.1,0.0
2024-09-01 05:00:00,0.0,0.0398400113982678,0.135,0.1,0.0
2024-09-01 06:00:00,0.0,0.18,0.0,0.0934184200224702,0.0
2024-09-01 07:00:00,0.0,0.18,0.0,0.0842669979074473,0.0
2024-09-01 08:00:00,0.0,0.1664605394181147,0.0,0.1,0.0
2024-09-01 09:00:00,0.0,0.1680885229658932,0.0,0.09,0.0
2024-09-01 10:00:00,0.0,0.18,0.067395767726529,0.0,0.0
2024-09-01 11:00:00,0.0,0.0179999999999999,0.15,0.0714235835133441,0.0
2024-09-01 12:00:00,0.0,0.0924419600326479,0.15,0.0,0.0
2024-09-01 13:00:00,0.0,0.1430229851312454,0.0149999999999999,0.09,0.0
2024-09-01 14:00:00,0.0,0.0969758245733284,0.15,0.0,0.0
2024-09-01 15:00:00,0.0,0.0050260547316435,0.15,0.09,0.0
2024-09-01 16:00:00,0.0,0.0016187510680417,0.15,0.09,0.0
2024-09-01 17:00:00,0.0,0.1671654091492886,0.15,0.1,0.0
2024-09-01 18:00:00,0.0,0.18,0.1274814456075678,0.1,0.0
2024-09-01 19:00:00,0.0,0.18,0.1180933020892176,0.1,0.0
2024-09-01 20:00:00,0.0,0.18,0.15,0.0745998617280325,0.0
2024-09-01 21:00:00,0.0,0.1600978279255608,0.15,0.1,0.0
2024-09-01 22:00:00,0.0,0.18,0.15,0.0864205373478022,0.0
2024-09-01 23:00:00,0.0,0.18,0.15,0.1,0.0
