node_id,mean_influence,mean_wind_factor,mean_pv_factor,mean_load_factor,mean_wind_speed_factor,mean_wind_raw,mean_pv_raw,mean_load_raw,mean_wind_speed_raw
11,0.6544541159245241,1.3454712918734681,0.9081868394245443,1.034479946045245,1.1717314101282978,0.026496917243956027,0.15949489220634058,93849.64215652409,4.093975847965068
9,0.5696877024008067,1.2439560680740573,0.9479960312183908,1.022794159345845,1.0912033172807662,0.026270049385495587,0.16404194651317078,92555.03160373714,3.784780335076358
10,0.5571107223877929,1.2505103698610927,0.9512327009387689,1.020997693181889,1.0792551862684032,0.024022467079863153,0.1656514371214125,92524.27287571193,3.6578997680894596
3,0.5373899998355992,1.2704686905621725,0.9698343028379592,1.0184286571859227,1.0605204998438191,0.028816987019940492,0.1742954458985489,92612.98221348863,3.7297938693418575
4,0.518937638606871,1.2628039405590608,0.9736651775418041,1.0157481338493435,1.0429907566765275,0.024865551500744716,0.17590610633813455,92465.8249950842,3.5262030800710726
8,0.4264161748299902,1.1257702367587072,1.018990864941541,1.0030789003219163,0.9550953660884907,0.026275247575086147,0.17494271144420853,90789.36583458593,3.2445886203627117
13,0.4232665170769512,1.1692698913040511,1.037562720690894,1.0033608263629838,0.9521031912231036,0.03344270901162397,0.17181658473059233,90867.65375187778,3.432792125071182
2,0.3779179628173335,1.1348619492812042,1.0453162213291063,0.9964186053449215,0.9090220646764668,0.027321286160516503,0.18740176465877623,90615.84969262483,3.088473013878632
5,0.35627170929996616,1.1177049466757703,1.0479475637945947,0.9932351863104978,0.8884581238349678,0.021588379136064186,0.18630575377002803,90360.24030910754,2.8111966292891366
7,0.2768185372205851,1.0,1.0857796315591444,0.9823036602466532,0.8129776103595558,0.022361111111111113,0.18798472591238025,88959.08473153063,2.5593584696308493
12,0.25693017688157244,1.0281165239209433,1.1105261920469955,0.9802136934431073,0.7940836680374939,0.028319362233771257,0.1859353868637397,88818.774889447,2.6415505911836785
0,0.2381934064975475,1.005438516584178,1.1153777445306945,0.9773924623080641,0.7762837361726702,0.027878817092611204,0.19198027636620027,88630.40942287522,2.5702552725731316
14,0.23239038898282857,0.9742109522074414,1.1110493732303957,0.9762941630389881,0.7707708695336871,0.0236409504649817,0.190083858318248,88461.06356058072,2.4257441637025887
1,0.22363074471787123,0.9959689708718003,1.1161937759452918,0.9750702455830808,0.7624492074819778,0.02454700579292789,0.19802078396971703,88618.01669921818,2.423296778413134
6,0.20274523963505833,0.9621388465580962,1.1183600053990916,0.9720089567414593,0.7426079776533054,0.019504010238203563,0.19395833988414024,88211.50719508805,2.1795992537576394
