scenario,expected_fail_lines,probability
S1,4,0.073667
S2,3,0.072333
S3,9,0.070667
S4,5,0.068333
S5,6,0.068
S6,2,0.063
S7,8,0.061333
S8,7,0.06
S9,11,0.050667
S10,10,0.049
S11,1,0.046
S12,12,0.04
S13,13,0.033667
S14,14,0.031
S15,0,0.029667
S16,15,0.022333
S17,16,0.022
S18,19,0.021333
S19,17,0.018
S20,18,0.016
S21,21,0.013
S22,22,0.011667
S23,20,0.01
S24,23,0.006667
S25,24,0.006667
S26,25,0.006667
S27,26,0.005667
S28,27,0.003333
S29,28,0.003
S30,30,0.002667
S31,31,0.002667
S32,29,0.002333
S33,32,0.001667
S34,33,0.001333
S35,34,0.001333
S36,36,0.001
S37,37,0.001
S38,35,0.000667
S39,43,0.000667
S40,40,0.000333
S41,42,0.000333
S42,44,0.000333
