scenario,expected_fail_lines,probability
S1,4,0.079333
S2,5,0.074667
S3,3,0.071
S4,7,0.068333
S5,6,0.067333
S6,2,0.066667
S7,9,0.057667
S8,8,0.056667
S9,11,0.049667
S10,1,0.049
S11,10,0.044333
S12,12,0.040667
S13,13,0.034333
S14,0,0.031667
S15,14,0.026333
S16,15,0.024
S17,16,0.021333
S18,17,0.020333
S19,19,0.02
S20,18,0.016667
S21,20,0.011667
S22,21,0.009667
S23,22,0.009
S24,23,0.008
S25,24,0.006667
S26,26,0.005667
S27,25,0.005333
S28,30,0.004333
S29,28,0.003667
S30,29,0.003
S31,27,0.002667
S32,31,0.002667
S33,32,0.001667
S34,33,0.001667
S35,34,0.000667
S36,35,0.000667
S37,36,0.000667
S38,38,0.000667
S39,40,0.000667
S40,43,0.000667
S41,41,0.000333
