epoch,train_mse,val_mse,warmup_scale,train_gate_reg,train_attn_entropy
1.0,0.22788679599761963,0.19063109159469604,1.0,0.0,0.0
2.0,0.20803125202655792,0.16389578580856323,1.0,0.0,0.0
3.0,0.1894593983888626,0.14088255167007446,1.0,0.0,0.0
4.0,0.1709815263748169,0.12120400369167328,1.0,0.0,0.0
5.0,0.15189602971076965,0.1046643853187561,1.0,0.0,0.0
6.0,0.13310594856739044,0.09123106300830841,1.0,0.0,0.0
7.0,0.11140573024749756,0.08013803511857986,1.0,0.0,0.0
8.0,0.08925402164459229,0.070533886551857,1.0,0.0,0.0
9.0,0.06785593926906586,0.061688996851444244,1.0,0.0,0.0
10.0,0.04939327761530876,0.0525493398308754,1.0,0.0,0.0
11.0,0.03434904292225838,0.04233585298061371,1.0,0.0,0.0
12.0,0.02279515378177166,0.03078758902847767,1.0,0.0,0.0
13.0,0.014937656000256538,0.01971833035349846,1.0,0.0,0.0
14.0,0.009327856823801994,0.01110981684178114,1.0,0.0,0.0
15.0,0.005103202536702156,0.005823600105941296,1.0,0.0,0.0
16.0,0.0029592313803732395,0.003200042061507702,1.0,0.0,0.0
17.0,0.0018046885961666703,0.002215535379946232,1.0,0.0,0.0
18.0,0.001540964120067656,0.0020126006565988064,1.0,0.0,0.0
19.0,0.001144226873293519,0.0021126498468220234,1.0,0.0,0.0
20.0,0.00105041335336864,0.0022779961582273245,1.0,0.0,0.0
21.0,0.0011784324888139963,0.0024177448358386755,1.0,0.0,0.0
22.0,0.0016244102735072374,0.0024477930273860693,1.0,0.0,0.0
23.0,0.001954161562025547,0.0024255721364170313,1.0,0.0,0.0
24.0,0.0015480415895581245,0.002342861844226718,1.0,0.0,0.0
25.0,0.0016237952513620257,0.002194714266806841,1.0,0.0,0.0
26.0,0.0017157049151137471,0.00198104465380311,1.0,0.0,0.0
27.0,0.0013055437011644244,0.0017286388901993632,1.0,0.0,0.0
28.0,0.0012985315406695008,0.0014986988389864564,1.0,0.0,0.0
29.0,0.0018135692225769162,0.0013249062467366457,1.0,0.0,0.0
30.0,0.001769551308825612,0.0012599021429196,1.0,0.0,0.0
31.0,0.0015507962089031935,0.0012770389439538121,1.0,0.0,0.0
32.0,0.0014207831118255854,0.0013318458804860711,1.0,0.0,0.0
33.0,0.001941130729392171,0.001401366200298071,1.0,0.0,0.0
34.0,0.0017561441054567695,0.0014904747949913144,1.0,0.0,0.0
35.0,0.002321491716429591,0.0015555062564089894,1.0,0.0,0.0
36.0,0.0020813101436942816,0.0016157004283741117,1.0,0.0,0.0
37.0,0.002484267810359597,0.0016553443856537342,1.0,0.0,0.0
38.0,0.0023462327662855387,0.0016831518150866032,1.0,0.0,0.0
39.0,0.0017910265596583486,0.0017470759339630604,1.0,0.0,0.0
40.0,0.001688120304606855,0.0018736218335106969,1.0,0.0,0.0
41.0,0.0016788453795015812,0.0020230545196682215,1.0,0.0,0.0
42.0,0.0023960513062775135,0.00220881006680429,1.0,0.0,0.0
43.0,0.002563429530709982,0.0023739109747111797,1.0,0.0,0.0
44.0,0.0026609005872160196,0.002456153044477105,1.0,0.0,0.0
45.0,0.0029662384185940027,0.0024764614645391703,1.0,0.0,0.0
46.0,0.0019508242839947343,0.0024162086192518473,1.0,0.0,0.0
47.0,0.0017444093246012926,0.002353401854634285,1.0,0.0,0.0
48.0,0.0025092808064073324,0.0022741775028407574,1.0,0.0,0.0
49.0,0.001646922784857452,0.002195066772401333,1.0,0.0,0.0
50.0,0.0017845180118456483,0.002116338349878788,1.0,0.0,0.0
51.0,0.0018952088430523872,0.0020503841806203127,1.0,0.0,0.0
52.0,0.002443689852952957,0.002023667562752962,1.0,0.0,0.0
53.0,0.002262104069814086,0.0020181124564260244,1.0,0.0,0.0
54.0,0.002004113281145692,0.0020363922230899334,1.0,0.0,0.0
55.0,0.002596202539280057,0.002057570731267333,1.0,0.0,0.0
56.0,0.0018918347777798772,0.0020627714693546295,1.0,0.0,0.0
57.0,0.0016390006057918072,0.0020499960519373417,1.0,0.0,0.0
58.0,0.0020225783810019493,0.0020382388029247522,1.0,0.0,0.0
59.0,0.0021254485473036766,0.0020247085485607386,1.0,0.0,0.0
60.0,0.0016780202277004719,0.0020378350745886564,1.0,0.0,0.0
61.0,0.0019125682301819324,0.0020558068063110113,1.0,0.0,0.0
62.0,0.0012861656723544002,0.002106169704347849,1.0,0.0,0.0
63.0,0.0017140812706202269,0.0021692009177058935,1.0,0.0,0.0
64.0,0.0017389554996043444,0.002197830006480217,1.0,0.0,0.0
65.0,0.0013834990095347166,0.0021858280524611473,1.0,0.0,0.0
66.0,0.0017910802271217108,0.00216024462133646,1.0,0.0,0.0
67.0,0.001977380597963929,0.0021310884039849043,1.0,0.0,0.0
68.0,0.0016915254527702928,0.002095618052408099,1.0,0.0,0.0
69.0,0.002242125803604722,0.002020335290580988,1.0,0.0,0.0
70.0,0.0016664854483678937,0.0019469166873022914,1.0,0.0,0.0
