scenario,expected_fail_lines,probability
S1,0,0.240333
S2,1,0.236
S3,2,0.179
S4,3,0.141667
S5,4,0.085
S6,5,0.053667
S7,6,0.032
S8,7,0.018667
S9,8,0.008
S10,9,0.004667
S11,10,0.000667
S12,12,0.000333
