scenario_id,timestamp,load_bus,priority_weight,demand,served,shed,policy
3,2024-09-01 00:00:00,1,1.0,0.15001200863713335,0.14729321391097014,0.0027187947261632095,priority_with_reserve
3,2024-09-01 00:00:00,3,1.0,0.19778329995749175,0.005343538277320229,0.19243976168017152,priority_with_reserve
3,2024-09-01 00:00:00,4,1.0,0.13342493350699827,0.10534353827732024,0.028081395229678036,priority_with_reserve
3,2024-09-01 00:00:00,5,1.0,0.1208070737330347,0.008015307415980345,0.11279176631705436,priority_with_reserve
3,2024-09-01 00:00:00,6,0.5,0.15002099422367607,0.008015307415980345,0.14200568680769574,priority_with_reserve
3,2024-09-01 00:00:00,7,0.5,0.07939695042353953,0.07939695042353953,0.0,priority_with_reserve
3,2024-09-01 00:00:00,8,0.5,0.11054218988069382,0.008015307415980345,0.10252688246471348,priority_with_reserve
3,2024-09-01 00:00:00,9,0.5,0.10223897236542845,0.008015307415980345,0.0942236649494481,priority_with_reserve
3,2024-09-01 00:00:00,10,0.2,0.053300132247726215,0.010687076554640459,0.04261305569308575,priority_with_reserve
3,2024-09-01 00:00:00,11,0.2,0.024425422093677377,0.0026717691386601147,0.02175365295501726,priority_with_reserve
3,2024-09-01 00:00:00,12,0.2,0.07377484415054972,0.0,0.07377484415054972,priority_with_reserve
3,2024-09-01 00:00:00,13,0.2,0.013223102294982315,0.0,0.013223102294982315,priority_with_reserve
3,2024-09-01 00:00:00,14,0.2,0.10870410221540672,0.0,0.10870410221540672,priority_with_reserve
3,2024-09-01 01:00:00,1,1.0,0.14149382138977765,0.14149382138977765,0.0,priority_with_reserve
3,2024-09-01 01:00:00,3,1.0,0.18655249784542138,0.18655249784542138,0.0,priority_with_reserve
3,2024-09-01 01:00:00,4,1.0,0.1258486162681045,0.015500579851611823,0.11034803641649268,priority_with_reserve
3,2024-09-01 01:00:00,5,1.0,0.11394724108222139,0.0,0.11394724108222139,priority_with_reserve
3,2024-09-01 01:00:00,6,0.5,0.14150229674444365,0.008015307415980345,0.1334869893284633,priority_with_reserve
3,2024-09-01 01:00:00,7,0.5,0.07488852408673416,0.0,0.07488852408673416,priority_with_reserve
3,2024-09-01 01:00:00,8,0.5,0.10426523191785368,0.0,0.10426523191785368,priority_with_reserve
3,2024-09-01 01:00:00,9,0.5,0.09643349906700367,0.0,0.09643349906700367,priority_with_reserve
3,2024-09-01 01:00:00,10,0.2,0.050273571168251624,0.0,0.050273571168251624,priority_with_reserve
3,2024-09-01 01:00:00,11,0.2,0.023038464336895895,0.0,0.023038464336895895,priority_with_reserve
3,2024-09-01 01:00:00,12,0.2,0.06958565994904367,0.0,0.06958565994904367,priority_with_reserve
3,2024-09-01 01:00:00,13,0.2,0.012472249997470205,0.0,0.012472249997470205,priority_with_reserve
3,2024-09-01 01:00:00,14,0.2,0.10253151706279835,0.0,0.10253151706279835,priority_with_reserve
3,2024-09-01 02:00:00,1,1.0,0.13325723842691845,0.13325723842691845,0.0,priority_with_reserve
3,2024-09-01 02:00:00,3,1.0,0.17569297684061633,0.12425345288562217,0.051439523954994154,priority_with_reserve
3,2024-09-01 02:00:00,4,1.0,0.11852276586367008,0.0,0.11852276586367008,priority_with_reserve
3,2024-09-01 02:00:00,5,1.0,0.10731418887298591,0.0,0.10731418887298591,priority_with_reserve
3,2024-09-01 02:00:00,6,0.5,0.13326522041755512,0.0,0.13326522041755512,priority_with_reserve
3,2024-09-01 02:00:00,7,0.5,0.0705291426271913,0.0,0.0705291426271913,priority_with_reserve
3,2024-09-01 02:00:00,8,0.5,0.09819578503743179,0.0,0.09819578503743179,priority_with_reserve
3,2024-09-01 02:00:00,9,0.5,0.09081994995466366,0.0,0.09081994995466366,priority_with_reserve
3,2024-09-01 02:00:00,10,0.2,0.0473470657159335,0.0,0.0473470657159335,priority_with_reserve
3,2024-09-01 02:00:00,11,0.2,0.021697358266087454,0.0,0.021697358266087454,priority_with_reserve
3,2024-09-01 02:00:00,12,0.2,0.06553496674162271,0.0,0.06553496674162271,priority_with_reserve
3,2024-09-01 02:00:00,13,0.2,0.011746220261127911,0.0,0.011746220261127911,priority_with_reserve
3,2024-09-01 02:00:00,14,0.2,0.09656299251309979,0.0,0.09656299251309979,priority_with_reserve
3,2024-09-01 03:00:00,1,1.0,0.12641980413976678,0.0,0.12641980413976678,priority_with_reserve
3,2024-09-01 03:00:00,3,1.0,0.16667816310109412,0.16667816310109412,0.0,priority_with_reserve
3,2024-09-01 03:00:00,4,1.0,0.11244135795899746,0.03485791474934119,0.07758344320965627,priority_with_reserve
3,2024-09-01 03:00:00,5,1.0,0.10180789350652121,0.0,0.10180789350652121,priority_with_reserve
