scenario,expected_fail_lines,probability
S1,0,0.335333
S2,1,0.272667
S3,2,0.167667
S4,3,0.099
S5,4,0.068333
S6,5,0.031667
S7,6,0.017
S8,7,0.005667
S9,8,0.001667
S10,9,0.000667
S11,10,0.000333
