run_name,run_dir,status,return_code,skipped,wall_seconds,block,case_id,seed,label_method,model_group,contingency_tensor,metapath_v1_enabled,metapath_attention_mode,metapath_topk,hidden_dim,epochs,lr,weight_decay,train_ratio,risk_weight_alpha,risk_weight_beta,risk_weight_threshold,metapath_gate_reg_lambda,metapath_attention_entropy_reg_lambda,metapath_warmup_epochs,val_mae,val_rmse,val_high_risk_mae,best_val_mse,metapath_gate_mean,epochs_effective,metapath_attention_mode_reported
0021_A_label-wang_qmc_group-A0_baseline_seed-44,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0021_A_label-wang_qmc_group-A0_baseline_seed-44,ok,0,True,0.0,A,A_label-wang_qmc_group-A0_baseline_seed-44,44,wang_qmc,A0_baseline,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,False,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.3501998583475749,0.4565051447398877,0.1708841549853484,0.20839695632457733,,61.0,disabled
0022_A_label-wang_qmc_group-A1_metapath_fixed_seed-44,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0022_A_label-wang_qmc_group-A1_metapath_fixed_seed-44,ok,0,True,0.0,A,A_label-wang_qmc_group-A1_metapath_fixed_seed-44,44,wang_qmc,A1_metapath_fixed,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.34259375261537955,0.46092788848029154,0.1537707470357418,0.21245451271533966,0.05947559104404516,61.0,fixed
0023_A_label-wang_qmc_group-A2_metapath_adaptive_global_seed-44,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0023_A_label-wang_qmc_group-A2_metapath_adaptive_global_seed-44,ok,0,True,0.0,A,A_label-wang_qmc_group-A2_metapath_adaptive_global_seed-44,44,wang_qmc,A2_metapath_adaptive_global,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,adaptive_global,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.34259385665257774,0.46092784153210686,0.15377096484104794,0.21245446801185608,0.059475586749613285,61.0,adaptive_global
0024_A_label-wang_qmc_group-A3_metapath_adaptive_context_seed-44,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0024_A_label-wang_qmc_group-A3_metapath_adaptive_context_seed-44,ok,0,True,0.0,A,A_label-wang_qmc_group-A3_metapath_adaptive_context_seed-44,44,wang_qmc,A3_metapath_adaptive_context,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,adaptive_context,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.3628773241332083,0.45156794262154326,0.19835739160577456,0.2039135992527008,0.05664167330703802,61.0,adaptive_context
0025_A_label-c3po_ref_group-A0_baseline_seed-45,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0025_A_label-c3po_ref_group-A0_baseline_seed-45,ok,0,True,0.0,A,A_label-c3po_ref_group-A0_baseline_seed-45,45,c3po_ref,A0_baseline,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,False,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.147998667214856,0.16740308708139173,0.3236852173621838,0.028023790568113327,,66.0,disabled
0026_A_label-c3po_ref_group-A1_metapath_fixed_seed-45,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0026_A_label-c3po_ref_group-A1_metapath_fixed_seed-45,ok,0,True,0.0,A,A_label-c3po_ref_group-A1_metapath_fixed_seed-45,45,c3po_ref,A1_metapath_fixed,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,True,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.021212292990336817,0.026297505962472347,0.06780805725317735,0.0006915588746778667,0.9999249569243855,143.0,fixed
0027_A_label-c3po_ref_group-A2_metapath_adaptive_global_seed-45,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0027_A_label-c3po_ref_group-A2_metapath_adaptive_global_seed-45,ok,0,True,0.0,A,A_label-c3po_ref_group-A2_metapath_adaptive_global_seed-45,45,c3po_ref,A2_metapath_adaptive_global,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,True,adaptive_global,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.020258623216244758,0.02644306197131808,0.0753191400032777,0.0006992355338297784,0.9999455362558365,138.0,adaptive_global
0028_A_label-c3po_ref_group-A3_metapath_adaptive_context_seed-45,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0028_A_label-c3po_ref_group-A3_metapath_adaptive_context_seed-45,ok,0,True,0.0,A,A_label-c3po_ref_group-A3_metapath_adaptive_context_seed-45,45,c3po_ref,A3_metapath_adaptive_context,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,True,adaptive_context,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.01933953805092835,0.027567743484751384,0.08721992230186096,0.000759980408474803,0.9996486513151063,125.0,adaptive_context
0029_A_label-wang_qmc_group-A0_baseline_seed-45,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0029_A_label-wang_qmc_group-A0_baseline_seed-45,ok,0,True,0.0,A,A_label-wang_qmc_group-A0_baseline_seed-45,45,wang_qmc,A0_baseline,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,False,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.3470460846568599,0.45735036544795565,0.16467317740122478,0.20916934311389923,,61.0,disabled
0030_A_label-wang_qmc_group-A1_metapath_fixed_seed-45,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0030_A_label-wang_qmc_group-A1_metapath_fixed_seed-45,ok,0,True,0.0,A,A_label-wang_qmc_group-A1_metapath_fixed_seed-45,45,wang_qmc,A1_metapath_fixed,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.38421453165285513,0.4472709232148884,0.2440354570746422,0.20005126297473907,0.07487332582887676,61.0,fixed
