label_method,seed,best_val_mse_A0_baseline,best_val_mse_A1_metapath_fixed,best_val_mse_A2_metapath_adaptive_global,best_val_mse_A3_metapath_adaptive_context,val_high_risk_mae_A0_baseline,val_high_risk_mae_A1_metapath_fixed,val_high_risk_mae_A2_metapath_adaptive_global,val_high_risk_mae_A3_metapath_adaptive_context,val_mae_A0_baseline,val_mae_A1_metapath_fixed,val_mae_A2_metapath_adaptive_global,val_mae_A3_metapath_adaptive_context,delta_val_mae_A0_minus_A1_metapath_fixed,delta_best_val_mse_A0_minus_A1_metapath_fixed,delta_hr_mae_A0_minus_A1_metapath_fixed,delta_val_mae_A0_minus_A2_metapath_adaptive_global,delta_best_val_mse_A0_minus_A2_metapath_adaptive_global,delta_hr_mae_A0_minus_A2_metapath_adaptive_global,delta_val_mae_A0_minus_A3_metapath_adaptive_context,delta_best_val_mse_A0_minus_A3_metapath_adaptive_context,delta_hr_mae_A0_minus_A3_metapath_adaptive_context
c3po_ref,42,0.022257115691900253,0.0006238002679310739,0.0005968090845271945,0.0011748743709176779,0.3015513259630937,0.06217723110547432,0.05941229542860618,0.10864350142387244,0.10714750484083638,0.02109895022585988,0.020940600389219594,0.022477509352999428,0.0860485546149765,0.02163331542396918,0.23937409485761937,0.08620690445161679,0.02166030660737306,0.24213903053448751,0.08466999548783695,0.021082241320982575,0.19290782453922126
c3po_ref,43,0.01858818717300892,0.0005635507986880839,0.0007105974946171045,0.0008806411642581224,0.3045963690831111,0.07228254068356293,0.054553853204617135,0.06515603971022826,0.09646033950601564,0.013530879091316212,0.022334227107013715,0.024289058371813912,0.08292946041469942,0.018024636374320835,0.23231382839954817,0.07412611239900192,0.017877589678391814,0.25004251587849396,0.07217128113420172,0.017707546008750796,0.23944032937288284
c3po_ref,44,0.03081786446273327,0.0008851625025272369,0.0008563846349716187,0.00091077625984326,0.2886435068570651,0.0770621935908611,0.07258339913991782,0.08184124873234676,0.14553979827147542,0.022081379369465692,0.023080542456415117,0.023489881476218052,0.12345841890200973,0.029932701960206032,0.211581313266204,0.12245925581506031,0.02996147982776165,0.21606010771714726,0.12204991679525737,0.02990708820289001,0.2068022581247183
c3po_ref,45,0.028023790568113327,0.0006915588746778667,0.0006992355338297784,0.000759980408474803,0.3236852173621838,0.06780805725317735,0.0753191400032777,0.08721992230186096,0.147998667214856,0.021212292990336817,0.020258623216244758,0.01933953805092835,0.1267863742245192,0.02733223169343546,0.25587716010900646,0.12774004399861125,0.02732455503428355,0.2483660773589061,0.12865912916392763,0.027263810159638524,0.23646529506032285
c3po_ref,46,0.024572456255555153,0.0025265582371503115,0.0025729492772370577,0.002442768542096019,0.3660804875768148,0.094234076830057,0.09025166900112079,0.10584042192651676,0.13249231981057108,0.032419423198778975,0.03312404627601306,0.03091405103561666,0.10007289661179211,0.02204589801840484,0.27184641074675775,0.09936827353455802,0.021999506978318095,0.27582881857569397,0.10157826877495442,0.022129687713459134,0.260240065650298
wang_qmc,42,0.2042570561170578,0.20843000710010529,0.20843000710010529,0.20593805611133575,0.19595906063914298,0.17274667595823606,0.1727467032770316,0.19028700391451517,0.36180574171470875,0.3512847577080582,0.35128477215766907,0.3597056213653449,0.010520984006650524,-0.004172950983047485,0.023212384680906917,0.010520969557039683,-0.004172950983047485,0.023212357362111385,0.0021001203493638543,-0.001680999994277954,0.005672056724627811
wang_qmc,43,0.2055848091840744,0.21431569755077362,0.21431519091129303,0.21731390058994293,0.182352543870608,0.14617343743642172,0.1461753688752651,0.13269005293647448,0.35503701152223527,0.33913255857698843,0.33913342356681825,0.3326451263644479,0.01590445294524684,-0.008730888366699219,0.03617910643418629,0.01590358795541702,-0.008730381727218628,0.0361771749953429,0.022391885157787395,-0.01172909140586853,0.049662490934133524
wang_qmc,44,0.20839695632457733,0.21245451271533966,0.21245446801185608,0.2039135992527008,0.1708841549853484,0.1537707470357418,0.15377096484104794,0.19835739160577456,0.3501998583475749,0.34259375261537955,0.34259385665257774,0.3628773241332083,0.007606105732195334,-0.004057556390762329,0.017113407949606585,0.007606001694997144,-0.0040575116872787476,0.01711319014430046,-0.01267746578563339,0.004483357071876526,-0.027473236620426167
wang_qmc,45,0.20916934311389923,0.20005126297473907,0.20005129277706146,0.2087484747171402,0.16467317740122478,0.2440354570746422,0.24403545781970024,0.16939628248413405,0.3470460846568599,0.38421453165285513,0.38421453562649815,0.3495546743725285,-0.03716844699599525,0.009118080139160156,-0.07936227967341741,-0.03716845096963828,0.009118050336837769,-0.07936228041847546,-0.002508589715668641,0.0004208683967590332,-0.004723105082909268
wang_qmc,46,0.20205597579479218,0.19770032167434692,0.19770032167434692,0.19810420274734497,0.2127555678288142,0.27941288153330485,0.2794128681222598,0.26827531481782596,0.36950312834797483,0.3992253930279703,0.3992253861644051,0.3944753216974663,-0.029722264679995447,0.0043556541204452515,-0.06665731370449066,-0.029722257816430286,0.0043556541204452515,-0.0666573002934456,-0.024972193349491467,0.003951773047447205,-0.05551974698901177
