indicator,rank,policy,value
Priority,1,priority_with_reserve,0.9985318854974644
Priority,2,priority_no_reserve,0.9920429214736786
Priority,3,uniform_with_reserve,0.9776769489519688
Robustness,1,priority_with_reserve,0.9776769489519684
Robustness,2,uniform_with_reserve,0.9776769489519684
Robustness,3,priority_no_reserve,0.8920011802650506
Rapidity,1,priority_with_reserve,0.9591894571091382
Rapidity,2,uniform_with_reserve,0.9591894571091382
Rapidity,3,priority_no_reserve,0.9591894571091382
Sustainability,1,priority_with_reserve,0.9330829219411452
Sustainability,2,uniform_with_reserve,0.9330829219411452
Sustainability,3,priority_no_reserve,0.7254144737310283
