scenario,expected_fail_lines,probability
S1,6,0.069
S2,7,0.065333
S3,5,0.064667
S4,10,0.061667
S5,4,0.061333
S6,8,0.059
S7,9,0.059
S8,3,0.058
S9,12,0.055667
S10,11,0.054667
S11,13,0.050333
S12,2,0.047333
S13,14,0.037333
S14,15,0.036667
S15,1,0.032
S16,16,0.029
S17,17,0.022
S18,0,0.020667
S19,19,0.020667
S20,20,0.016667
S21,18,0.015667
S22,21,0.012667
S23,22,0.011333
S24,23,0.008667
S25,24,0.006667
S26,28,0.005
S27,26,0.004667
S28,27,0.004
S29,25,0.003333
S30,29,0.001333
S31,31,0.001
S32,33,0.001
S33,36,0.001
S34,30,0.000667
S35,37,0.000667
S36,32,0.000333
S37,34,0.000333
S38,38,0.000333
S39,39,0.000333
