scenario,expected_fail_lines,probability
S1,0,0.254333
S2,1,0.247
S3,2,0.178333
S4,3,0.139333
S5,4,0.083667
S6,5,0.045667
S7,6,0.027333
S8,7,0.014333
S9,8,0.006333
S10,9,0.003333
S11,12,0.000333
