experiment,seed,val_mae,horizon_mae,best_val_mse,top_risk_mae,spearman_corr,precision_at_5,ndcg_at_5,precision_at_10,ndcg_at_10,precision_at_20,ndcg_at_20,fp_at_10_true_rank_gt_30,fp_at_20_true_rank_gt_50,hits_at_10,hits_at_20,fp_at_30_true_rank_gt_50,hits_at_30_true_rank_le_30,best_epoch,runtime_sec
B2a_fp_lambda0p2_margin0p002,42,0.0001014015716489,7.654066367243657e-05,1.8882301944245228e-08,0.0001545436679779,0.5859015630803429,0.6,0.6843515475204855,0.6,0.6898286563534621,0.5,0.5910682095579067,4.0,4.0,6,10,7,15,116,1187.1542296409607
B2a_fp_lambda0p2_margin0p002,43,0.0002762114996047,0.000321056510586,1.6044693040839777e-07,0.0003156440476067,0.493348472911027,0.2,0.169580102636808,0.2,0.2489083270225946,0.15,0.199021945185555,8.0,7.0,2,3,10,7,58,174.56148743629456
B2a_fp_lambda0p2_margin0p002,44,0.0036053897537628,0.003599402558318,1.3174268133298028e-05,0.003709036037061,0.1084878909397997,0.2,0.2139862647345275,0.2,0.2051166673279436,0.2,0.2030985290320777,8.0,12.0,2,4,18,8,58,80.0490128993988
B2a_fp_lambda0p2_margin0p002,45,0.0015403443022769,0.0015432664400999,2.382210368523374e-06,0.0015651223467422,0.218514998162524,0.2,0.2139862647345275,0.1,0.1388624438735545,0.15,0.1584304321581945,9.0,12.0,1,3,15,7,54,79.6301417350769
B2a_fp_lambda0p2_margin0p002,46,0.0009458629126164,0.0011454033078266,1.294864773626614e-06,0.0012187702923021,-0.1293726797560608,0.2,0.1460683498427064,0.2,0.2336508082431053,0.15,0.1831288937296951,8.0,11.0,2,3,14,10,93,103.51538729667664
