model,val_mae,top_risk_mae,spearman_corr,precision_at_10,ndcg_at_10,precision_at_20,ndcg_at_20,fp_at_10_true_rank_gt_30,fp_at_20_true_rank_gt_50
Original GridAgent seed42,0.0024698772440574,0.0040303938131028,0.6038958145810571,0.2,0.195189000790661,0.35,0.3100942084313088,8.0,11.0
MLP seed42,0.016555725828111,0.0184985689321019,0.8317636317536945,0.7,0.800693766409882,0.85,0.9013592468993896,0.0,0.0
B2a mean 5-seed,0.00129384200798194,0.0013926232783379798,0.2553760490675266,0.26,0.303273380564132,0.22999999999999998,0.2669496019326858,7.4,9.2
