metric,mean,std,min,max
val_mae,0.00129384200798194,0.0014126740475699734,0.0001014015716489,0.0036053897537628
horizon_mae,0.0013371338961005873,0.0013980897052070992,7.654066367243657e-05,0.003599402558318
best_val_mse,3.406134501560132e-06,5.543696429619952e-06,1.8882301944245228e-08,1.3174268133298028e-05
top_risk_mae,0.0013926232783379798,0.0014246468196665986,0.0001545436679779,0.003709036037061
spearman_corr,0.2553760490675266,0.290191506735953,-0.1293726797560608,0.5859015630803429
precision_at_5,0.27999999999999997,0.17888543819998315,0.2,0.6
ndcg_at_5,0.28559450589381097,0.22482746086509617,0.1460683498427064,0.6843515475204855
precision_at_10,0.26,0.19493588689617927,0.1,0.6
ndcg_at_10,0.303273380564132,0.22016672053272512,0.1388624438735545,0.6898286563534621
precision_at_20,0.22999999999999998,0.15247950681976907,0.15,0.5
ndcg_at_20,0.2669496019326858,0.18203455661139076,0.1584304321581945,0.5910682095579067
fp_at_10_true_rank_gt_30,7.4,1.9493588689617927,4.0,9.0
fp_at_20_true_rank_gt_50,9.2,3.5637059362410923,4.0,12.0
hits_at_10,2.6,1.9493588689617927,1.0,6.0
hits_at_20,4.6,3.0495901363953815,3.0,10.0
fp_at_30_true_rank_gt_50,12.8,4.324349662087931,7.0,18.0
hits_at_30_true_rank_le_30,9.4,3.361547262794322,7.0,15.0
runtime_sec,324.9820518016815,483.52984582917367,79.6301417350769,1187.1542296409607
